	Arachis_hypogaea	Brassica_napus	Capsicum_anuum	Prunus_persica	Solanum_lycopersicum
Number of genes	67124	101040	34899	26873	36648
Number of genes in orthogroups	62716	88221	33005	23987	31447
Number of unassigned genes	4408	12819	1894	2886	5201
Percentage of genes in orthogroups	93.4	87.3	94.6	89.3	85.8
Percentage of unassigned genes	6.6	12.7	5.4	10.7	14.2
Number of orthogroups containing species	18448	22160	15360	14775	16190
Percentage of orthogroups containing species	54.0	64.8	44.9	43.2	47.4
Number of species-specific orthogroups	4990	9223	642	634	1181
Number of genes in species-specific orthogroups	23051	43510	2636	2849	5619
Percentage of genes in species-specific orthogroups	34.3	43.1	7.6	10.6	15.3


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	15735	12023	18823	19408	17993
'1	1545	1487	9353	10623	9960
'2	10348	8822	3383	2662	3647
'3	1784	2869	1164	695	1228
'4	2316	3691	496	265	520
'5	702	1531	250	146	252
'6	593	1420	149	111	147
'7	286	641	92	60	82
'8	202	455	82	40	56
'9	128	274	57	33	50
'10	89	218	52	19	32
11-15	209	407	127	52	105
16-20	96	133	60	36	39
21-50	104	160	72	32	63
51-100	29	39	16	1	9
101-150	7	9	5	0	0
151-200	4	2	0	0	0
201-500	5	2	2	0	0
501-1000	1	0	0	0	0
'1001+	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	46.0	35.2	55.1	56.8	52.6
'1	4.5	4.4	27.4	31.1	29.1
'2	30.3	25.8	9.9	7.8	10.7
'3	5.2	8.4	3.4	2.0	3.6
'4	6.8	10.8	1.5	0.8	1.5
'5	2.1	4.5	0.7	0.4	0.7
'6	1.7	4.2	0.4	0.3	0.4
'7	0.8	1.9	0.3	0.2	0.2
'8	0.6	1.3	0.2	0.1	0.2
'9	0.4	0.8	0.2	0.1	0.1
'10	0.3	0.6	0.2	0.1	0.1
11-15	0.6	1.2	0.4	0.2	0.3
16-20	0.3	0.4	0.2	0.1	0.1
21-50	0.3	0.5	0.2	0.1	0.2
51-100	0.1	0.1	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0
'1	1545	1487	9353	10623	9960
'2	20696	17644	6766	5324	7294
'3	5352	8607	3492	2085	3684
'4	9264	14764	1984	1060	2080
'5	3510	7655	1250	730	1260
'6	3558	8520	894	666	882
'7	2002	4487	644	420	574
'8	1616	3640	656	320	448
'9	1152	2466	513	297	450
'10	890	2180	520	190	320
11-15	2617	5039	1607	654	1328
16-20	1688	2345	1061	649	697
21-50	3095	4888	2131	897	1892
51-100	2042	2515	1114	72	578
101-150	833	1043	587	0	0
151-200	699	361	0	0	0
201-500	1398	580	433	0	0
501-1000	759	0	0	0	0
'1001+	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0
'1	2.3	1.5	26.8	39.5	27.2
'2	30.8	17.5	19.4	19.8	19.9
'3	8.0	8.5	10.0	7.8	10.1
'4	13.8	14.6	5.7	3.9	5.7
'5	5.2	7.6	3.6	2.7	3.4
'6	5.3	8.4	2.6	2.5	2.4
'7	3.0	4.4	1.8	1.6	1.6
'8	2.4	3.6	1.9	1.2	1.2
'9	1.7	2.4	1.5	1.1	1.2
'10	1.3	2.2	1.5	0.7	0.9
11-15	3.9	5.0	4.6	2.4	3.6
16-20	2.5	2.3	3.0	2.4	1.9
21-50	4.6	4.8	6.1	3.3	5.2
51-100	3.0	2.5	3.2	0.3	1.6
101-150	1.2	1.0	1.7	0.0	0.0
151-200	1.0	0.4	0.0	0.0	0.0
201-500	2.1	0.6	1.2	0.0	0.0
501-1000	1.1	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0
