Orthogroup	Capsicum_anuum	Prunus_persica
OG0000024	CA00g58730	Prupe.8G158000.1
OG0000024	CA12g01590, CA12g01630, CA11g04970, CA00g93280, CA11g04950, CA11g04990, CA12g01760, CA12g01730, CA09g04720, CA12g01670, CA12g01780, CA12g01840, CA12g01800, CA12g01820, CA00g58610, CA08g18590, CA00g58640, CA00g58810, CA00g58650, CA00g58620, CA00g58690, CA08g18660, CA08g18650, CA08g18630, CA08g18690, CA08g18700, CA00g58680, CA08g18600, CA00g58600, CA00g58700, CA00g58820, CA08g18610, CA08g18580, CA00g58630, CA00g58720, CA00g58710	Prupe.8G081600.1, Prupe.8G081400.1, Prupe.8G081200.1, Prupe.8G081800.1, Prupe.8G081900.1
OG0000024	CA00g58760	Prupe.8G158200.1
OG0000028	CA03g19600	Prupe.6G167200.1, Prupe.6G192900.1
OG0000028	CA02g05940, CA03g30210, CA01g28920	Prupe.1G198400.1, Prupe.1G189200.1
OG0000029	CA03g05400, CA01g17690, CA06g01490, CA07g06230, CA11g15740, CA12g10060, CA01g11660, CA00g93490, CA11g19760, CA11g19400, CA11g14910, CA06g17540, CA04g05410, CA02g06870, CA09g08510, CA09g15950, CA09g03570, CA12g04140, CA09g03420, CA06g14830, CA06g00600, CA07g21230, CA04g02330, CA06g02720, CA00g91540, CA04g02230, CA00g68950, CA01g28280, CA01g00120, CA07g15630, CA03g24100, CA04g11010, CA10g13320, CA00g98830, CA00g71850, CA03g05410, CA11g02520, CA01g10830, CA00g71310, CA10g07190, CA10g04020, CA05g10390, CA11g11790, CA09g13180, CA08g08620, CA03g14890	Prupe.1G170400.1, Prupe.6G052200.1, Prupe.8G185100.1, Prupe.2G074700.1
OG0000029	CA06g02590, CA09g16370, CA00g96740, CA11g04740, CA07g19620, CA03g18830	Prupe.4G230800.1
OG0000035	CA09g14860, CA02g13600, CA09g15200, CA09g15190, CA09g15020, CA09g15030, CA12g08100, CA09g15270, CA09g14900, CA09g15210, CA09g15010, CA07g11690, CA09g15290, CA09g15240, CA00g83030, CA12g12530, CA06g11290, CA03g18030, CA03g04060, CA06g11440, CA08g10200	Prupe.4G199500.1, Prupe.4G198500.1, Prupe.4G199000.1, Prupe.4G199300.1, Prupe.4G198200.1, Prupe.4G200100.1, Prupe.4G200000.1, Prupe.4G194500.1, Prupe.4G194400.1, Prupe.4G198700.1, Prupe.4G194600.1, Prupe.4G194300.1, Prupe.4G197900.1, Prupe.4G194700.1, Prupe.4G194000.1, Prupe.4G198800.1, Prupe.4G194200.1, Prupe.4G194100.1, Prupe.4G198600.1, Prupe.4G198000.1, Prupe.4G190700.1, Prupe.4G191000.1, Prupe.4G190800.1, Prupe.4G199200.1, Prupe.4G238900.1
OG0000035	CA06g11570, CA05g11940, CA00g92600	Prupe.4G193900.1, Prupe.4G238800.1
OG0000039	CA11g18690, CA11g19840, CA03g09240, CA11g15650, CA11g19920, CA11g18640, CA11g19960, CA11g17270, CA07g08500, CA11g18680, CA01g13200, CA11g16960, CA11g16800, CA00g86190, CA11g17300, CA06g14710, CA06g10830, CA11g19450, CA11g18710, CA11g18700, CA00g97660, CA11g17890, CA01g24150, CA01g21420, CA03g09230, CA11g18660, CA06g14750, CA11g16830, CA11g19340, CA03g09200, CA11g15730, CA11g15660, CA11g16780, CA11g16820, CA11g19940, CA11g19810, CA00g86210, CA00g86230, CA11g19470, CA11g18620, CA07g08520, CA11g19390, CA11g19440, CA04g05600, CA11g19790, CA01g13210, CA11g19900, CA11g16950, CA11g19820, CA00g86200, CA11g15670, CA01g21400, CA11g19860, CA11g19910, CA11g19930, CA11g18720, CA11g17230, CA11g17210, CA11g17000, CA11g19770, CA11g19350, CA11g17200, CA11g17290, CA11g19950, CA11g17190, CA00g92680, CA00g86240, CA05g02090, CA11g16840, CA11g17260, CA11g19380, CA11g19430, CA11g18670, CA06g14740, CA00g86300, CA11g19850, CA00g86220, CA11g14390, CA11g15590, CA11g19830, CA11g19460, CA00g86260, CA06g10860, CA06g14730	Prupe.2G036400.1
