Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	758	758
OG0000001	426	426
OG0000002	330	330
OG0000003	329	329
OG0000004	249	249
OG0000005	225	225
OG0000006	225	225
OG0000007	212	212
OG0000008	206	206
OG0000009	200	200
OG0000010	190	190
OG0000011	181	181
OG0000012	177	177
OG0000013	178	178
OG0000014	164	160
OG0000015	164	164
OG0000016	142	142
OG0000017	135	135
OG0000018	124	124
OG0000019	134	134
OG0000020	133	133
OG0000021	126	126
OG0000022	124	124
OG0000023	123	123
OG0000024	97	96
OG0000025	117	117
OG0000026	115	113
OG0000027	115	115
OG0000028	107	107
OG0000029	107	105
OG0000030	110	110
OG0000031	109	109
OG0000032	108	108
OG0000033	108	108
OG0000034	103	103
OG0000035	94	94
OG0000036	107	107
OG0000037	106	106
OG0000038	103	103
OG0000039	91	91
OG0000040	96	95
OG0000041	98	98
OG0000042	92	92
OG0000043	95	95
OG0000044	93	93
OG0000045	89	89
OG0000046	89	89
OG0000047	90	90
OG0000048	89	89
OG0000049	89	89
OG0000050	83	83
OG0000051	87	87
OG0000052	87	87
OG0000053	86	86
OG0000054	70	68
OG0000055	86	86
OG0000056	81	81
OG0000057	84	84
OG0000058	72	70
OG0000059	81	81
OG0000060	82	82
OG0000061	78	77
OG0000062	77	77
OG0000063	77	77
OG0000064	76	76
OG0000065	76	76
OG0000066	59	59
OG0000067	71	71
OG0000068	73	73
OG0000069	72	72
OG0000070	59	58
OG0000071	70	70
OG0000072	71	71
OG0000073	71	71
OG0000074	71	71
OG0000075	70	70
OG0000076	67	67
OG0000077	69	69
OG0000078	58	58
OG0000079	52	49
OG0000080	69	69
OG0000081	67	67
OG0000082	68	68
OG0000083	58	58
OG0000084	51	50
OG0000085	68	68
OG0000086	67	67
OG0000087	62	62
OG0000088	66	66
OG0000089	66	66
OG0000090	66	66
OG0000091	66	66
OG0000092	60	60
OG0000093	50	50
OG0000094	65	65
OG0000095	40	35
OG0000096	65	65
OG0000097	65	65
OG0000098	65	65
OG0000099	65	65
OG0000100	52	50
OG0000101	42	36
OG0000102	64	64
OG0000103	64	64
OG0000104	64	64
OG0000105	47	44
OG0000106	54	54
OG0000107	60	60
OG0000108	63	63
OG0000109	51	51
OG0000110	60	60
OG0000111	60	60
OG0000112	60	60
OG0000113	52	52
OG0000114	60	60
OG0000115	59	59
OG0000116	59	59
OG0000117	58	58
OG0000118	57	57
OG0000119	58	58
OG0000120	58	58
OG0000121	57	57
OG0000122	55	55
OG0000123	56	56
OG0000124	48	48
OG0000125	56	56
OG0000126	56	56
OG0000127	56	56
OG0000128	54	53
OG0000129	55	55
OG0000130	55	55
OG0000131	55	55
OG0000132	54	54
OG0000133	43	35
