Orthogroup	Arachis_hypogaea	Brassica_napus	Capsicum_anuum	Prunus_persica	Solanum_lycopersicum
OG0034183	arahy.Tifrunner.gnm1.ann1.HJG3BW.1				
OG0034184	arahy.Tifrunner.gnm1.ann1.9BC44W.1				
OG0034185	arahy.Tifrunner.gnm1.ann1.G3761Q.1				
OG0034186	arahy.Tifrunner.gnm1.ann1.S312MJ.1				
OG0034187	arahy.Tifrunner.gnm1.ann1.I9BDFC.1				
OG0034188	arahy.Tifrunner.gnm1.ann1.HTR3J4.1				
OG0034189	arahy.Tifrunner.gnm1.ann1.Q1ML92.1				
OG0034190	arahy.Tifrunner.gnm1.ann1.TMHH4X.1				
OG0034191	arahy.Tifrunner.gnm1.ann1.XVSZ20.1				
OG0034192	arahy.Tifrunner.gnm1.ann1.YIP0PD.1				
OG0034193	arahy.Tifrunner.gnm1.ann1.U85VQG.1				
OG0034194	arahy.Tifrunner.gnm1.ann1.HAHF8I.1				
OG0034195	arahy.Tifrunner.gnm1.ann1.S6DMUP.1				
OG0034196	arahy.Tifrunner.gnm1.ann1.27T0RV.1				
OG0034197	arahy.Tifrunner.gnm1.ann1.JHI18V.1				
OG0034198	arahy.Tifrunner.gnm1.ann1.CB4TML.1				
OG0034199	arahy.Tifrunner.gnm1.ann1.5E2VRE.1				
OG0034200	arahy.Tifrunner.gnm1.ann1.XL4A33.1				
OG0034201	arahy.Tifrunner.gnm1.ann1.3YFD1D.1				
OG0034202	arahy.Tifrunner.gnm1.ann1.1GQ87W.1				
OG0034203	arahy.Tifrunner.gnm1.ann1.BNE4NG.1				
OG0034204	arahy.Tifrunner.gnm1.ann1.KIS5CH.1				
OG0034205	arahy.Tifrunner.gnm1.ann1.13D9QD.1				
OG0034206	arahy.Tifrunner.gnm1.ann1.AYR608.1				
OG0034207	arahy.Tifrunner.gnm1.ann1.GYHT7Y.1				
OG0034208	arahy.Tifrunner.gnm1.ann1.U9UHMR.1				
OG0034209	arahy.Tifrunner.gnm1.ann1.ATUJ9U.1				
OG0034210	arahy.Tifrunner.gnm1.ann1.TU9PNL.1				
OG0034211	arahy.Tifrunner.gnm1.ann1.7S4VSW.1				
OG0034212	arahy.Tifrunner.gnm1.ann1.Y1XBLJ.1				
OG0034213	arahy.Tifrunner.gnm1.ann1.3M1BNC.1				
OG0034214	arahy.Tifrunner.gnm1.ann1.MNN5VC.1				
OG0034215	arahy.Tifrunner.gnm1.ann1.XTEC92.1				
OG0034216	arahy.Tifrunner.gnm1.ann1.7YT00J.1				
OG0034217	arahy.Tifrunner.gnm1.ann1.YY5SX5.1				
OG0034218	arahy.Tifrunner.gnm1.ann1.NKQF4W.1				
OG0034219	arahy.Tifrunner.gnm1.ann1.V0ZW9L.1				
OG0034220	arahy.Tifrunner.gnm1.ann1.QQX1F4.1				
OG0034221	arahy.Tifrunner.gnm1.ann1.6MA44F.1				
OG0034222	arahy.Tifrunner.gnm1.ann1.987RIL.1				
OG0034223	arahy.Tifrunner.gnm1.ann1.SZQ5V0.1				
OG0034224	arahy.Tifrunner.gnm1.ann1.4IQ408.1				
OG0034225	arahy.Tifrunner.gnm1.ann1.BEJL1T.1				
OG0034226	arahy.Tifrunner.gnm1.ann1.R6Z027.1				
OG0034227	arahy.Tifrunner.gnm1.ann1.ZZVU7H.1				
OG0034228	arahy.Tifrunner.gnm1.ann1.KV653B.1				
OG0034229	arahy.Tifrunner.gnm1.ann1.V9R690.1				
OG0034230	arahy.Tifrunner.gnm1.ann1.803UCD.1				
OG0034231	arahy.Tifrunner.gnm1.ann1.VM3I7I.1				
OG0034232	arahy.Tifrunner.gnm1.ann1.AYD98V.1				
OG0034233	arahy.Tifrunner.gnm1.ann1.DBA5QZ.1				
OG0034234	arahy.Tifrunner.gnm1.ann1.BY6BY7.1				
OG0034235	arahy.Tifrunner.gnm1.ann1.JRP81T.1				
OG0034236	arahy.Tifrunner.gnm1.ann1.2ZYR40.1				
OG0034237	arahy.Tifrunner.gnm1.ann1.1M3GV3.1				
OG0034238	arahy.Tifrunner.gnm1.ann1.0YI8WX.2				
OG0034239	arahy.Tifrunner.gnm1.ann1.MNS0PI.1				
OG0034240	arahy.Tifrunner.gnm1.ann1.NN1YGN.1				
OG0034241	arahy.Tifrunner.gnm1.ann1.2WV311.1				
OG0034242	arahy.Tifrunner.gnm1.ann1.65D6GP.1				
OG0034243	arahy.Tifrunner.gnm1.ann1.P9J5FJ.1				
OG0034244	arahy.Tifrunner.gnm1.ann1.I2IHG1.1				
OG0034245	arahy.Tifrunner.gnm1.ann1.S5DSK4.1				
OG0034246	arahy.Tifrunner.gnm1.ann1.KAG5PZ.1				
OG0034247	arahy.Tifrunner.gnm1.ann1.7EB2ZH.2				
OG0034248	arahy.Tifrunner.gnm1.ann1.HLW5PI.1				
OG0034249	arahy.Tifrunner.gnm1.ann1.T1IW9N.1				
OG0034250	arahy.Tifrunner.gnm1.ann1.L8XYUL.1				
OG0034251	arahy.Tifrunner.gnm1.ann1.K7RUU1.1				
OG0034252	arahy.Tifrunner.gnm1.ann1.J2QE2W.1				
OG0034253	arahy.Tifrunner.gnm1.ann1.3T37VD.1				
OG0034254	arahy.Tifrunner.gnm1.ann1.E4P10T.1				
OG0034255	arahy.Tifrunner.gnm1.ann1.NR2FSQ.1				
OG0034256	arahy.Tifrunner.gnm1.ann1.2UK2LN.1				
OG0034257	arahy.Tifrunner.gnm1.ann1.VH57H4.1				
OG0034258	arahy.Tifrunner.gnm1.ann1.9E4RBZ.1				
OG0034259	arahy.Tifrunner.gnm1.ann1.E6024R.1				
OG0034260	arahy.Tifrunner.gnm1.ann1.74MQIJ.1				
OG0034261	arahy.Tifrunner.gnm1.ann1.M1Z73T.2				
OG0034262	arahy.Tifrunner.gnm1.ann1.XAP853.1				
OG0034263	arahy.Tifrunner.gnm1.ann1.KAWM4X.1				
OG0034264	arahy.Tifrunner.gnm1.ann1.8GH2US.2				
OG0034265	arahy.Tifrunner.gnm1.ann1.TQ1LPM.1				
OG0034266	arahy.Tifrunner.gnm1.ann1.5H7955.1				
OG0034267	arahy.Tifrunner.gnm1.ann1.A8RYZB.1				
OG0034268	arahy.Tifrunner.gnm1.ann1.8RI6YW.1				
OG0034269	arahy.Tifrunner.gnm1.ann1.0Q0EMW.1				
OG0034270	arahy.Tifrunner.gnm1.ann1.6JI4FV.1				
OG0034271	arahy.Tifrunner.gnm1.ann1.B8N1RQ.1				
OG0034272	arahy.Tifrunner.gnm1.ann1.5FG4B2.1				
OG0034273	arahy.Tifrunner.gnm1.ann1.X4BYXV.1				
OG0034274	arahy.Tifrunner.gnm1.ann1.H29TT5.2				
OG0034275	arahy.Tifrunner.gnm1.ann1.926GLJ.1				
OG0034276	arahy.Tifrunner.gnm1.ann1.Q50EYJ.1				
OG0034277	arahy.Tifrunner.gnm1.ann1.14IU8D.1				
OG0034278	arahy.Tifrunner.gnm1.ann1.W4FD88.1				
OG0034279	arahy.Tifrunner.gnm1.ann1.W12Z09.1				
OG0034280	arahy.Tifrunner.gnm1.ann1.4AAN5M.1				
OG0034281	arahy.Tifrunner.gnm1.ann1.AE82WW.1				
OG0034282	arahy.Tifrunner.gnm1.ann1.TK9752.1				
OG0034283	arahy.Tifrunner.gnm1.ann1.QM78NS.1				
OG0034284	arahy.Tifrunner.gnm1.ann1.4A4I8X.1				
OG0034285	arahy.Tifrunner.gnm1.ann1.L71BIL.1				
OG0034286	arahy.Tifrunner.gnm1.ann1.3QR5ND.1				
OG0034287	arahy.Tifrunner.gnm1.ann1.JYT129.1				
OG0034288	arahy.Tifrunner.gnm1.ann1.TXD9ZK.1				
OG0034289	arahy.Tifrunner.gnm1.ann1.G8YEBA.1				
OG0034290	arahy.Tifrunner.gnm1.ann1.NEZ88B.1				
OG0034291	arahy.Tifrunner.gnm1.ann1.IDN1KN.2				
OG0034292	arahy.Tifrunner.gnm1.ann1.MQG5EQ.1				
OG0034293	arahy.Tifrunner.gnm1.ann1.DZ6GLD.1				
OG0034294	arahy.Tifrunner.gnm1.ann1.DVEQ79.1				
OG0034295	arahy.Tifrunner.gnm1.ann1.2DV4RV.1				
OG0034296	arahy.Tifrunner.gnm1.ann1.FQKP3I.1				
OG0034297	arahy.Tifrunner.gnm1.ann1.93VXD5.1				
OG0034298	arahy.Tifrunner.gnm1.ann1.5VLU3V.1				
OG0034299	arahy.Tifrunner.gnm1.ann1.8YD2L3.1				
OG0034300	arahy.Tifrunner.gnm1.ann1.QZAD6M.1				
OG0034301	arahy.Tifrunner.gnm1.ann1.V33WN8.1				
OG0034302	arahy.Tifrunner.gnm1.ann1.FTPE9D.1				
OG0034303	arahy.Tifrunner.gnm1.ann1.C6HSVL.1				
OG0034304	arahy.Tifrunner.gnm1.ann1.I76ATH.1				
OG0034305	arahy.Tifrunner.gnm1.ann1.BWC0QX.1				
OG0034306	arahy.Tifrunner.gnm1.ann1.7B7ZD9.1				
OG0034307	arahy.Tifrunner.gnm1.ann1.UD5THM.1				
