Orthogroup	Capsicum_anuum	Arachis_hypogaea
OG0000014	CA04g06580	arahy.Tifrunner.gnm1.ann1.WYPB05.1, arahy.Tifrunner.gnm1.ann1.CF0E2W.1, arahy.Tifrunner.gnm1.ann1.1HC2L4.1, arahy.Tifrunner.gnm1.ann1.S64W8T.1, arahy.Tifrunner.gnm1.ann1.L6HU1S.1, arahy.Tifrunner.gnm1.ann1.TC6SA3.1, arahy.Tifrunner.gnm1.ann1.AW8RS1.1, arahy.Tifrunner.gnm1.ann1.HJAT6S.1, arahy.Tifrunner.gnm1.ann1.ZBM1RL.1, arahy.Tifrunner.gnm1.ann1.UGS2VU.1, arahy.Tifrunner.gnm1.ann1.6CP4EH.1, arahy.Tifrunner.gnm1.ann1.LZ192D.1, arahy.Tifrunner.gnm1.ann1.HNT7DF.1, arahy.Tifrunner.gnm1.ann1.X8S553.1, arahy.Tifrunner.gnm1.ann1.PEZ2QL.1, arahy.Tifrunner.gnm1.ann1.J27RTG.1, arahy.Tifrunner.gnm1.ann1.Y6Z520.1, arahy.Tifrunner.gnm1.ann1.2SXA0Q.1, arahy.Tifrunner.gnm1.ann1.UVM53E.1, arahy.Tifrunner.gnm1.ann1.BZ1ILP.1, arahy.Tifrunner.gnm1.ann1.7HYT5S.1, arahy.Tifrunner.gnm1.ann1.P8U5ZL.1, arahy.Tifrunner.gnm1.ann1.NXX91V.1, arahy.Tifrunner.gnm1.ann1.0SK6AQ.1, arahy.Tifrunner.gnm1.ann1.53K12M.1, arahy.Tifrunner.gnm1.ann1.SJ8K7C.1, arahy.Tifrunner.gnm1.ann1.VPE4QI.1, arahy.Tifrunner.gnm1.ann1.624CI0.1, arahy.Tifrunner.gnm1.ann1.ZTF8IR.1, arahy.Tifrunner.gnm1.ann1.D60NA3.1, arahy.Tifrunner.gnm1.ann1.EH50E4.1, arahy.Tifrunner.gnm1.ann1.Q7ASHF.1, arahy.Tifrunner.gnm1.ann1.SUPE6P.1, arahy.Tifrunner.gnm1.ann1.5M7HTQ.1, arahy.Tifrunner.gnm1.ann1.08QY2G.1, arahy.Tifrunner.gnm1.ann1.426PY0.1, arahy.Tifrunner.gnm1.ann1.PXPK8R.1, arahy.Tifrunner.gnm1.ann1.LIL5C6.1, arahy.Tifrunner.gnm1.ann1.R624MM.1, arahy.Tifrunner.gnm1.ann1.IDU5KN.1, arahy.Tifrunner.gnm1.ann1.33P3LL.1, arahy.Tifrunner.gnm1.ann1.PIZ7V7.1, arahy.Tifrunner.gnm1.ann1.0GCA2Z.1, arahy.Tifrunner.gnm1.ann1.DU9LS7.1, arahy.Tifrunner.gnm1.ann1.AWA2M3.1, arahy.Tifrunner.gnm1.ann1.QDB9QN.1, arahy.Tifrunner.gnm1.ann1.CXR9GE.1, arahy.Tifrunner.gnm1.ann1.8M56MU.1, arahy.Tifrunner.gnm1.ann1.IEL4E6.1, arahy.Tifrunner.gnm1.ann1.L6ZWEU.1, arahy.Tifrunner.gnm1.ann1.UB63TY.1, arahy.Tifrunner.gnm1.ann1.YFB10Q.1, arahy.Tifrunner.gnm1.ann1.M1VLII.1, arahy.Tifrunner.gnm1.ann1.A2X803.1, arahy.Tifrunner.gnm1.ann1.XL1WEB.1, arahy.Tifrunner.gnm1.ann1.7PWY5M.1, arahy.Tifrunner.gnm1.ann1.I68C5E.1, arahy.Tifrunner.gnm1.ann1.H3AKL7.1, arahy.Tifrunner.gnm1.ann1.N38TWV.1, arahy.Tifrunner.gnm1.ann1.V57TF6.1, arahy.Tifrunner.gnm1.ann1.PNC4MU.1, arahy.Tifrunner.gnm1.ann1.4ZRB92.1, arahy.Tifrunner.gnm1.ann1.JE2ALD.1, arahy.Tifrunner.gnm1.ann1.85PY9P.1, arahy.Tifrunner.gnm1.ann1.PFD2PZ.1, arahy.Tifrunner.gnm1.ann1.G9B4YA.1, arahy.Tifrunner.gnm1.ann1.306G59.1, arahy.Tifrunner.gnm1.ann1.UDG76J.1, arahy.Tifrunner.gnm1.ann1.XCI5LL.1, arahy.Tifrunner.gnm1.ann1.0G74Q4.2, arahy.Tifrunner.gnm1.ann1.Z5HYYL.1, arahy.Tifrunner.gnm1.ann1.YCE02X.1, arahy.Tifrunner.gnm1.ann1.Y46IFH.1, arahy.Tifrunner.gnm1.ann1.C6CKS6.1, arahy.Tifrunner.gnm1.ann1.039GDJ.1, arahy.Tifrunner.gnm1.ann1.F6LLD8.1, arahy.Tifrunner.gnm1.ann1.B928RC.1, arahy.Tifrunner.gnm1.ann1.TK6YN8.1, arahy.Tifrunner.gnm1.ann1.BUI6N8.1, arahy.Tifrunner.gnm1.ann1.9R964H.1, arahy.Tifrunner.gnm1.ann1.23VI1Z.1, arahy.Tifrunner.gnm1.ann1.V9BZQQ.1, arahy.Tifrunner.gnm1.ann1.R2VZIH.1, arahy.Tifrunner.gnm1.ann1.FN9Z98.1, arahy.Tifrunner.gnm1.ann1.R9DJ65.1, arahy.Tifrunner.gnm1.ann1.1K58IL.1, arahy.Tifrunner.gnm1.ann1.M47XWE.2, arahy.Tifrunner.gnm1.ann1.63HC0C.1, arahy.Tifrunner.gnm1.ann1.T3D54G.1, arahy.Tifrunner.gnm1.ann1.KJ3LKA.1, arahy.Tifrunner.gnm1.ann1.YB8GZZ.1, arahy.Tifrunner.gnm1.ann1.SUVR52.1, arahy.Tifrunner.gnm1.ann1.BFJM18.1, arahy.Tifrunner.gnm1.ann1.ZMQ8SU.1, arahy.Tifrunner.gnm1.ann1.TV2LXI.1, arahy.Tifrunner.gnm1.ann1.EZ474E.1, arahy.Tifrunner.gnm1.ann1.P8IEKE.1, arahy.Tifrunner.gnm1.ann1.ACDL1T.1, arahy.Tifrunner.gnm1.ann1.E3BS9D.1, arahy.Tifrunner.gnm1.ann1.EVZC5C.1, arahy.Tifrunner.gnm1.ann1.Z2846R.1, arahy.Tifrunner.gnm1.ann1.RRI8SC.1, arahy.Tifrunner.gnm1.ann1.9UV8ZT.1, arahy.Tifrunner.gnm1.ann1.8D9DI6.1
OG0000014	CA05g03600	arahy.Tifrunner.gnm1.ann1.FDGJ35.1, arahy.Tifrunner.gnm1.ann1.26WXUQ.1, arahy.Tifrunner.gnm1.ann1.05US20.1, arahy.Tifrunner.gnm1.ann1.U36663.1, arahy.Tifrunner.gnm1.ann1.SP4BGW.1, arahy.Tifrunner.gnm1.ann1.59FNBU.1, arahy.Tifrunner.gnm1.ann1.D82RR9.1, arahy.Tifrunner.gnm1.ann1.RX50W0.1, arahy.Tifrunner.gnm1.ann1.6Z6XDS.1, arahy.Tifrunner.gnm1.ann1.6WD7H0.1, arahy.Tifrunner.gnm1.ann1.RMXN44.1, arahy.Tifrunner.gnm1.ann1.VUJE83.1, arahy.Tifrunner.gnm1.ann1.W2Q123.1, arahy.Tifrunner.gnm1.ann1.AGHN0H.1, arahy.Tifrunner.gnm1.ann1.V0UFH4.1, arahy.Tifrunner.gnm1.ann1.E9JHZK.1, arahy.Tifrunner.gnm1.ann1.WVXT4G.1, arahy.Tifrunner.gnm1.ann1.USCA6Y.1, arahy.Tifrunner.gnm1.ann1.1M2RGB.1, arahy.Tifrunner.gnm1.ann1.KPKP47.1, arahy.Tifrunner.gnm1.ann1.B41T3B.1, arahy.Tifrunner.gnm1.ann1.TWXB2E.1, arahy.Tifrunner.gnm1.ann1.JYJ30K.1, arahy.Tifrunner.gnm1.ann1.Q5M8FT.1, arahy.Tifrunner.gnm1.ann1.ZIYM9H.1, arahy.Tifrunner.gnm1.ann1.AVEP59.1, arahy.Tifrunner.gnm1.ann1.B7IFRJ.1, arahy.Tifrunner.gnm1.ann1.YQKP27.1, arahy.Tifrunner.gnm1.ann1.BDU77R.1, arahy.Tifrunner.gnm1.ann1.EZ74NH.1, arahy.Tifrunner.gnm1.ann1.I1JNK5.1, arahy.Tifrunner.gnm1.ann1.CY5YA6.1, arahy.Tifrunner.gnm1.ann1.61GXU1.1, arahy.Tifrunner.gnm1.ann1.B5YVYE.1, arahy.Tifrunner.gnm1.ann1.13T4D1.1, arahy.Tifrunner.gnm1.ann1.ZKAJ24.1, arahy.Tifrunner.gnm1.ann1.HBEC2R.1, arahy.Tifrunner.gnm1.ann1.LC6KCB.1
OG0000017	CA11g01320, CA11g14060, CA02g02930, CA03g11960, CA12g12970, CA00g75060, CA07g04730, CA03g10590, CA05g08890, CA00g09900, CA04g13150, CA07g04610, CA01g14970, CA06g14230, CA03g06520, CA03g08480, CA01g13500, CA07g13500, CA04g09400, CA00g89290, CA08g04330, CA01g12940, CA04g07330, CA09g08080, CA05g06860, CA03g18000, CA03g33350, CA04g08480, CA11g17040, CA11g05060, CA12g13990, CA02g05400, CA07g05020, CA01g26560, CA02g11760, CA05g05330, CA03g07430, CA12g13080, CA07g13250, CA00g92030, CA03g28160, CA03g18200, CA10g04070, CA11g07800, CA06g23220, CA00g84130, CA05g08000, CA05g14010, CA01g27710, CA01g25400, CA03g19260, CA03g19270, CA08g04260, CA10g08740, CA09g08240, CA01g18270, CA12g13410, CA01g11820, CA10g12430, CA03g24890, CA01g25420, CA00g80170, CA03g36310, CA12g17180, CA00g91890, CA03g10170, CA05g14910, CA00g36530, CA10g16280, CA08g04320, CA03g06100, CA00g75050, CA08g00110, CA01g29660, CA04g01760, CA02g07520, CA03g32790, CA10g10170, CA01g14020, CA00g25040, CA02g09230, CA10g14370, CA00g89230, CA07g09510, CA07g13100, CA01g07650, CA10g14300, CA04g11070, CA00g89280, CA01g18260, CA01g09990, CA07g04720, CA11g06800, CA04g13760, CA10g05200, CA04g15530, CA03g35640, CA07g07790, CA00g25320, CA03g15490, CA10g12500, CA02g08900, CA06g21790, CA10g05190, CA02g18120, CA06g05640, CA04g05300, CA00g32660, CA01g16590, CA04g17110, CA04g11870, CA03g24600, CA11g02260, CA05g07650, CA02g16540, CA03g16280, CA02g11260, CA01g18820, CA06g13540, CA04g10010, CA10g15750, CA09g03950, CA10g15620, CA01g02760, CA10g13800, CA04g05510, CA03g03490, CA05g14450, CA07g01830, CA10g11410, CA12g07480, CA02g00180, CA02g25860, CA11g06360, CA12g16490	arahy.Tifrunner.gnm1.ann1.244SBX.1
OG0000024	CA00g58730	arahy.Tifrunner.gnm1.ann1.9FBB71.1, arahy.Tifrunner.gnm1.ann1.TRM7YB.1
OG0000024	CA12g01590	arahy.Tifrunner.gnm1.ann1.R6N347.1, arahy.Tifrunner.gnm1.ann1.WB7GWZ.1
OG0000024	CA00g58610, CA08g18590, CA00g58640, CA00g58810, CA00g58650, CA00g58620, CA00g58690, CA08g18660, CA08g18650, CA08g18630, CA08g18690, CA08g18700, CA00g58680, CA08g18600, CA00g58600, CA00g58700, CA00g58820, CA08g18610, CA08g18580, CA00g58630, CA00g58720, CA00g58710	arahy.Tifrunner.gnm1.ann1.AD2HDF.1, arahy.Tifrunner.gnm1.ann1.G2W5QJ.1, arahy.Tifrunner.gnm1.ann1.08YD9Z.1, arahy.Tifrunner.gnm1.ann1.WZ3ZCE.1
OG0000024	CA00g58760	arahy.Tifrunner.gnm1.ann1.CLGD5D.1, arahy.Tifrunner.gnm1.ann1.JJ711E.1
OG0000028	CA03g19600	arahy.Tifrunner.gnm1.ann1.BGH1K9.1, arahy.Tifrunner.gnm1.ann1.2YWW5X.1, arahy.Tifrunner.gnm1.ann1.ZTB7LP.1, arahy.Tifrunner.gnm1.ann1.LQ4JD5.1, arahy.Tifrunner.gnm1.ann1.ZP0TV1.1, arahy.Tifrunner.gnm1.ann1.N7D5W4.1, arahy.Tifrunner.gnm1.ann1.PX1Q7R.1, arahy.Tifrunner.gnm1.ann1.J14BQ6.1, arahy.Tifrunner.gnm1.ann1.TFW107.1, arahy.Tifrunner.gnm1.ann1.C66JT8.1, arahy.Tifrunner.gnm1.ann1.HN4IXE.1, arahy.Tifrunner.gnm1.ann1.BD2TUN.1, arahy.Tifrunner.gnm1.ann1.WD8XP2.1, arahy.Tifrunner.gnm1.ann1.EDF0S4.1, arahy.Tifrunner.gnm1.ann1.T7DEQZ.1, arahy.Tifrunner.gnm1.ann1.UAK3YW.1, arahy.Tifrunner.gnm1.ann1.GU7PJV.1, arahy.Tifrunner.gnm1.ann1.Z9M9A1.1, arahy.Tifrunner.gnm1.ann1.DID5FL.1, arahy.Tifrunner.gnm1.ann1.GA2210.1, arahy.Tifrunner.gnm1.ann1.B430R0.1, arahy.Tifrunner.gnm1.ann1.PYBA1P.1, arahy.Tifrunner.gnm1.ann1.SN4SAG.1, arahy.Tifrunner.gnm1.ann1.ETEH4J.1, arahy.Tifrunner.gnm1.ann1.0LLV4J.1, arahy.Tifrunner.gnm1.ann1.DD1W6J.1, arahy.Tifrunner.gnm1.ann1.MU3CLC.1, arahy.Tifrunner.gnm1.ann1.4ILM2X.1, arahy.Tifrunner.gnm1.ann1.9JI2QB.1, arahy.Tifrunner.gnm1.ann1.SF7PFS.1, arahy.Tifrunner.gnm1.ann1.R7XLBE.1, arahy.Tifrunner.gnm1.ann1.07JIFF.1, arahy.Tifrunner.gnm1.ann1.DLVP0Z.1, arahy.Tifrunner.gnm1.ann1.7T5HGQ.1, arahy.Tifrunner.gnm1.ann1.03YHAE.1, arahy.Tifrunner.gnm1.ann1.CA0PRS.1, arahy.Tifrunner.gnm1.ann1.MKXD2W.1, arahy.Tifrunner.gnm1.ann1.ATXH7E.1, arahy.Tifrunner.gnm1.ann1.44PQND.1, arahy.Tifrunner.gnm1.ann1.RR6QUE.1, arahy.Tifrunner.gnm1.ann1.1KK7V7.1, arahy.Tifrunner.gnm1.ann1.880EA4.1, arahy.Tifrunner.gnm1.ann1.RF7S57.1, arahy.Tifrunner.gnm1.ann1.P7N27H.1, arahy.Tifrunner.gnm1.ann1.QAIE21.1, arahy.Tifrunner.gnm1.ann1.JRV8YC.1, arahy.Tifrunner.gnm1.ann1.14QLMC.1, arahy.Tifrunner.gnm1.ann1.6409NJ.1, arahy.Tifrunner.gnm1.ann1.KMV29V.1, arahy.Tifrunner.gnm1.ann1.BH5A7Z.1, arahy.Tifrunner.gnm1.ann1.W78D6Z.1, arahy.Tifrunner.gnm1.ann1.ZN40H3.1, arahy.Tifrunner.gnm1.ann1.KK4V7H.1, arahy.Tifrunner.gnm1.ann1.78M2T9.1, arahy.Tifrunner.gnm1.ann1.XB306U.1, arahy.Tifrunner.gnm1.ann1.IN5DBV.1, arahy.Tifrunner.gnm1.ann1.IGR54D.1, arahy.Tifrunner.gnm1.ann1.ZUE95K.1, arahy.Tifrunner.gnm1.ann1.60RZCN.1, arahy.Tifrunner.gnm1.ann1.EYT58T.1, arahy.Tifrunner.gnm1.ann1.JI6NZI.1, arahy.Tifrunner.gnm1.ann1.87KLM0.1, arahy.Tifrunner.gnm1.ann1.WC8NTR.1, arahy.Tifrunner.gnm1.ann1.XU1E63.1, arahy.Tifrunner.gnm1.ann1.5WC8BS.1, arahy.Tifrunner.gnm1.ann1.MZ8BA6.1, arahy.Tifrunner.gnm1.ann1.JCEI9S.1, arahy.Tifrunner.gnm1.ann1.LS1Y2H.1, arahy.Tifrunner.gnm1.ann1.GS73AA.1
OG0000028	CA02g05940, CA03g30210, CA01g28920	arahy.Tifrunner.gnm1.ann1.K0A92D.1, arahy.Tifrunner.gnm1.ann1.E7PPZH.1, arahy.Tifrunner.gnm1.ann1.FATU7S.1, arahy.Tifrunner.gnm1.ann1.HS6AU8.1, arahy.Tifrunner.gnm1.ann1.5A9IXT.1, arahy.Tifrunner.gnm1.ann1.MCQ4MF.1, arahy.Tifrunner.gnm1.ann1.B17C0C.1, arahy.Tifrunner.gnm1.ann1.7V0QHS.1, arahy.Tifrunner.gnm1.ann1.CVM973.1, arahy.Tifrunner.gnm1.ann1.WG15T1.1, arahy.Tifrunner.gnm1.ann1.MFJS9C.1, arahy.Tifrunner.gnm1.ann1.S9EQ9T.1, arahy.Tifrunner.gnm1.ann1.V8FPGT.1, arahy.Tifrunner.gnm1.ann1.0FUF30.1, arahy.Tifrunner.gnm1.ann1.2H1MGU.1, arahy.Tifrunner.gnm1.ann1.H3BLYN.1, arahy.Tifrunner.gnm1.ann1.HX9YJ4.1, arahy.Tifrunner.gnm1.ann1.5QBM87.1, arahy.Tifrunner.gnm1.ann1.TPRQ23.1, arahy.Tifrunner.gnm1.ann1.9R3CRD.1, arahy.Tifrunner.gnm1.ann1.9LP8WG.1, arahy.Tifrunner.gnm1.ann1.B5SYFK.1, arahy.Tifrunner.gnm1.ann1.19918B.1, arahy.Tifrunner.gnm1.ann1.BSNM5R.1, arahy.Tifrunner.gnm1.ann1.99ZU3A.1, arahy.Tifrunner.gnm1.ann1.VJTY5B.1, arahy.Tifrunner.gnm1.ann1.7M9JZC.1, arahy.Tifrunner.gnm1.ann1.E6PJZ4.1, arahy.Tifrunner.gnm1.ann1.NWAB22.1, arahy.Tifrunner.gnm1.ann1.HLEK2P.1, arahy.Tifrunner.gnm1.ann1.P0ALVF.1, arahy.Tifrunner.gnm1.ann1.5AA1CX.1, arahy.Tifrunner.gnm1.ann1.D49VG9.1, arahy.Tifrunner.gnm1.ann1.FJ42T9.1, arahy.Tifrunner.gnm1.ann1.4F2N9Z.1
OG0000035	CA09g14860, CA02g13600, CA09g15200, CA09g15190, CA09g15020, CA09g15030, CA12g08100, CA09g15270, CA09g14900, CA09g15210, CA09g15010, CA07g11690, CA09g15290, CA09g15240, CA00g83030, CA12g12530, CA06g11290, CA03g18030, CA03g04060, CA06g11440, CA08g10200	arahy.Tifrunner.gnm1.ann1.684RT9.1, arahy.Tifrunner.gnm1.ann1.A2E6KE.1, arahy.Tifrunner.gnm1.ann1.RSF9XX.1, arahy.Tifrunner.gnm1.ann1.Y103QL.1, arahy.Tifrunner.gnm1.ann1.ZA8YKR.1, arahy.Tifrunner.gnm1.ann1.CX9Y59.1, arahy.Tifrunner.gnm1.ann1.T3R0IJ.2, arahy.Tifrunner.gnm1.ann1.A5PRG1.1, arahy.Tifrunner.gnm1.ann1.SQ1PU0.1, arahy.Tifrunner.gnm1.ann1.N6MCFC.1, arahy.Tifrunner.gnm1.ann1.D34PF8.1, arahy.Tifrunner.gnm1.ann1.7F6LIV.1, arahy.Tifrunner.gnm1.ann1.ME6EYC.1, arahy.Tifrunner.gnm1.ann1.1B13BQ.1, arahy.Tifrunner.gnm1.ann1.BX0P1N.1, arahy.Tifrunner.gnm1.ann1.TUGJ2A.1
