Orthogroup	Prunus_persica	Capsicum_anuum
OG0000024	Prupe.8G158000.1	CA00g58730
OG0000024	Prupe.8G081600.1, Prupe.8G081400.1, Prupe.8G081200.1, Prupe.8G081800.1, Prupe.8G081900.1	CA12g01590, CA12g01630, CA11g04970, CA00g93280, CA11g04950, CA11g04990, CA12g01760, CA12g01730, CA09g04720, CA12g01670, CA12g01780, CA12g01840, CA12g01800, CA12g01820, CA00g58610, CA08g18590, CA00g58640, CA00g58810, CA00g58650, CA00g58620, CA00g58690, CA08g18660, CA08g18650, CA08g18630, CA08g18690, CA08g18700, CA00g58680, CA08g18600, CA00g58600, CA00g58700, CA00g58820, CA08g18610, CA08g18580, CA00g58630, CA00g58720, CA00g58710
OG0000024	Prupe.8G158200.1	CA00g58760
OG0000028	Prupe.6G167200.1, Prupe.6G192900.1	CA03g19600
OG0000028	Prupe.1G198400.1, Prupe.1G189200.1	CA02g05940, CA03g30210, CA01g28920
OG0000029	Prupe.1G170400.1, Prupe.6G052200.1, Prupe.8G185100.1, Prupe.2G074700.1	CA03g05400, CA01g17690, CA06g01490, CA07g06230, CA11g15740, CA12g10060, CA01g11660, CA00g93490, CA11g19760, CA11g19400, CA11g14910, CA06g17540, CA04g05410, CA02g06870, CA09g08510, CA09g15950, CA09g03570, CA12g04140, CA09g03420, CA06g14830, CA06g00600, CA07g21230, CA04g02330, CA06g02720, CA00g91540, CA04g02230, CA00g68950, CA01g28280, CA01g00120, CA07g15630, CA03g24100, CA04g11010, CA10g13320, CA00g98830, CA00g71850, CA03g05410, CA11g02520, CA01g10830, CA00g71310, CA10g07190, CA10g04020, CA05g10390, CA11g11790, CA09g13180, CA08g08620, CA03g14890
OG0000029	Prupe.4G230800.1	CA06g02590, CA09g16370, CA00g96740, CA11g04740, CA07g19620, CA03g18830
OG0000035	Prupe.4G199500.1, Prupe.4G198500.1, Prupe.4G199000.1, Prupe.4G199300.1, Prupe.4G198200.1, Prupe.4G200100.1, Prupe.4G200000.1, Prupe.4G194500.1, Prupe.4G194400.1, Prupe.4G198700.1, Prupe.4G194600.1, Prupe.4G194300.1, Prupe.4G197900.1, Prupe.4G194700.1, Prupe.4G194000.1, Prupe.4G198800.1, Prupe.4G194200.1, Prupe.4G194100.1, Prupe.4G198600.1, Prupe.4G198000.1, Prupe.4G190700.1, Prupe.4G191000.1, Prupe.4G190800.1, Prupe.4G199200.1, Prupe.4G238900.1	CA09g14860, CA02g13600, CA09g15200, CA09g15190, CA09g15020, CA09g15030, CA12g08100, CA09g15270, CA09g14900, CA09g15210, CA09g15010, CA07g11690, CA09g15290, CA09g15240, CA00g83030, CA12g12530, CA06g11290, CA03g18030, CA03g04060, CA06g11440, CA08g10200
OG0000035	Prupe.4G193900.1, Prupe.4G238800.1	CA06g11570, CA05g11940, CA00g92600
OG0000039	Prupe.2G036400.1	CA11g18690, CA11g19840, CA03g09240, CA11g15650, CA11g19920, CA11g18640, CA11g19960, CA11g17270, CA07g08500, CA11g18680, CA01g13200, CA11g16960, CA11g16800, CA00g86190, CA11g17300, CA06g14710, CA06g10830, CA11g19450, CA11g18710, CA11g18700, CA00g97660, CA11g17890, CA01g24150, CA01g21420, CA03g09230, CA11g18660, CA06g14750, CA11g16830, CA11g19340, CA03g09200, CA11g15730, CA11g15660, CA11g16780, CA11g16820, CA11g19940, CA11g19810, CA00g86210, CA00g86230, CA11g19470, CA11g18620, CA07g08520, CA11g19390, CA11g19440, CA04g05600, CA11g19790, CA01g13210, CA11g19900, CA11g16950, CA11g19820, CA00g86200, CA11g15670, CA01g21400, CA11g19860, CA11g19910, CA11g19930, CA11g18720, CA11g17230, CA11g17210, CA11g17000, CA11g19770, CA11g19350, CA11g17200, CA11g17290, CA11g19950, CA11g17190, CA00g92680, CA00g86240, CA05g02090, CA11g16840, CA11g17260, CA11g19380, CA11g19430, CA11g18670, CA06g14740, CA00g86300, CA11g19850, CA00g86220, CA11g14390, CA11g15590, CA11g19830, CA11g19460, CA00g86260, CA06g10860, CA06g14730
OG0000050	Prupe.4G281000.1	CA00g72130, CA04g15110, CA05g14380, CA05g10220, CA02g03130, CA11g15030, CA01g30390, CA09g11110, CA12g03780, CA02g06730, CA02g26900, CA00g76760, CA04g19340, CA10g11490, CA02g06880, CA10g04510, CA01g20750, CA01g29210, CA07g18940, CA08g05120, CA10g13550, CA12g13770, CA10g07720, CA02g01020, CA02g26940, CA01g25700, CA09g11100, CA03g17960, CA10g06250, CA00g87650, CA10g09220, CA06g27080, CA03g11020, CA05g12510, CA03g21950, CA06g14530, CA10g10630, CA01g13290, CA04g10250, CA09g10780, CA01g29930, CA03g14230, CA06g10490, CA03g15210, CA03g15200, CA05g12330, CA03g10580, CA02g03370, CA03g14560, CA02g02970, CA03g13110, CA10g09410, CA12g10360, CA09g01040, CA01g16380, CA00g36930, CA09g09430, CA00g81060, CA00g91460, CA00g91450, CA04g14800, CA05g17480, CA05g02160, CA02g03710, CA03g13070, CA03g11080, CA05g09950, CA02g29050, CA02g15110, CA12g10240, CA02g02960, CA11g10320, CA04g15120, CA09g08900, CA05g07680, CA07g09980, CA07g08850, CA08g02510, CA04g10360, CA01g16460, CA12g03240
OG0000054	Prupe.2G169400.1	CA03g33700, CA01g19930
OG0000054	Prupe.5G008900.1, Prupe.1G465400.1	CA12g06470, CA08g03120, CA05g09710, CA09g06500, CA02g01460, CA12g08300, CA07g21590, CA01g05760, CA00g54080, CA11g15780, CA08g14010, CA02g11270, CA10g11140, CA02g15300, CA02g11200, CA01g09770, CA02g27590, CA04g17020, CA01g15740, CA01g27760, CA06g17170, CA03g28430, CA01g04140, CA11g04050, CA09g06690, CA02g24580, CA08g02940, CA00g84800, CA03g14300, CA07g15980, CA06g10280, CA02g13910
OG0000054	Prupe.7G022000.1	CA05g07480
OG0000066	Prupe.4G213300.1, Prupe.6G285400.1, Prupe.8G190900.1, Prupe.8G190800.1	CA01g07800, CA01g02080, CA01g02070, CA09g03470, CA01g04280, CA01g04240, CA01g00990, CA01g01200, CA01g01010, CA10g03600, CA01g01040, CA01g01000, CA01g01050, CA01g01070, CA09g02460, CA09g02480, CA09g02440, CA01g07810, CA01g04250, CA01g04270, CA09g02670, CA09g02730, CA09g02450, CA00g45280, CA01g04190, CA01g01190, CA03g20960, CA03g04920, CA00g86470, CA09g02470
OG0000066	Prupe.5G188100.1, Prupe.1G358000.1	CA04g22390
OG0000066	Prupe.2G256000.1, Prupe.2G280300.1, Prupe.2G255700.1	CA00g87830, CA01g29910
