Orthogroup	Capsicum_anuum	Solanum_lycopersicum
OG0000006	CA00g91980, CA00g73670, CA09g15830, CA09g17600, CA00g79010, CA09g16120, CA09g15420, CA09g15860, CA07g00780, CA05g19870, CA09g17690, CA00g86710, CA09g17420, CA07g01040, CA09g17430, CA00g86640, CA07g00990, CA07g01110, CA09g16190, CA06g15490, CA00g73720, CA00g93370, CA00g76480, CA00g94740, CA00g98260, CA09g17400, CA00g86630, CA09g17610, CA07g01130, CA09g13920, CA05g18950, CA00g95380, CA00g86670, CA05g18920, CA00g73900, CA08g01980, CA05g19840, CA05g19830, CA00g75650, CA09g17490, CA09g17390, CA09g17360, CA10g13010, CA00g73740, CA00g77700, CA05g19880, CA09g13900, CA09g16250, CA11g16740, CA09g13940, CA09g15870, CA09g17530, CA00g73620, CA05g18940, CA09g16240, CA09g15940, CA05g19850, CA09g00930, CA09g17650, CA00g73660, CA09g17520, CA07g01120, CA00g73680, CA09g16080, CA09g16200, CA07g01000, CA09g15850, CA00g86600, CA09g17700, CA00g73840, CA09g15880, CA09g16110, CA00g91970, CA00g73830, CA04g06290, CA09g14550, CA07g00830, CA00g86620, CA07g01010, CA05g19860, CA00g73820, CA09g17550, CA00g91990, CA09g16280, CA00g78990, CA09g17350, CA09g16180, CA00g86610, CA00g76340, CA09g00920, CA06g00620, CA07g00900, CA00g73640, CA09g17680, CA09g17540, CA00g76450, CA09g16160, CA09g17460, CA00g73860, CA07g01100, CA00g73850, CA07g00770, CA06g02010, CA09g15400, CA09g17640, CA00g86650, CA07g01020, CA09g17560, CA09g17480, CA09g16310, CA00g92540, CA09g15910, CA07g00880, CA00g92550, CA09g17410, CA09g17570, CA07g00970, CA09g16090, CA09g17500, CA00g86700, CA00g95140, CA07g00910, CA00g73710, CA06g15480, CA04g14510, CA07g21620, CA09g17710, CA09g16320, CA09g14740, CA06g00840, CA07g00860, CA00g73770, CA07g00890, CA00g76390, CA09g15430, CA00g86580, CA09g17620, CA09g15390, CA06g00630, CA07g00820, CA09g17670, CA06g01990, CA07g21640, CA09g14570, CA07g21630, CA05g19820, CA00g75640, CA09g16170, CA00g73650, CA09g15920, CA00g98020, CA09g16130, CA07g00790, CA00g76410, CA09g17470, CA07g00850, CA09g17580, CA06g00850, CA06g01050, CA00g86690, CA00g76380, CA09g16260, CA00g86660, CA07g01030, CA07g00750, CA00g69820, CA00g77710, CA07g00980, CA09g17630, CA09g16210, CA09g13950, CA10g13030, CA00g73780, CA06g02020, CA00g76320, CA00g93380, CA06g00590, CA00g73890, CA09g15930, CA05g18930, CA00g76500, CA09g13960, CA09g16060, CA09g13930, CA00g73730, CA09g16220, CA00g73630, CA09g15890, CA05g18960, CA09g17450, CA05g19890, CA09g16070, CA07g00960, CA00g78960, CA00g78970, CA00g76440, CA00g93700, CA00g73750, CA11g14040, CA09g15820, CA10g13020, CA09g13910, CA12g07820, CA06g15470, CA09g14560, CA00g93720, CA09g17660, CA07g00810, CA00g76530, CA00g76520, CA09g14610, CA09g16270, CA00g76310, CA07g00760, CA00g76370, CA00g76470, CA00g79000, CA00g98980, CA00g76510, CA00g73870, CA00g78980, CA09g16230, CA06g02000, CA00g76400, CA00g86680, CA00g86590	Solyc12T001222.1
OG0000008	CA04g05000, CA00g29640, CA04g03160, CA04g03730, CA04g04960, CA04g02080, CA04g01350, CA00g29600, CA04g04940, CA00g29620, CA04g04410, CA04g04880, CA04g02120, CA00g70470, CA00g70410, CA04g01910, CA04g01880, CA04g05030, CA04g01950, CA04g03230, CA04g03130, CA04g04590, CA04g03910, CA04g04930, CA00g29500, CA00g70440, CA04g01990, CA04g02170, CA04g03100	Solyc03T000112.2
OG0000008	CA04g05070, CA04g01470, CA00g71660, CA04g05100, CA04g03660, CA00g71650, CA12g06480, CA09g01260, CA10g11340, CA02g13740, CA04g04350, CA08g13960, CA04g03960, CA04g01040, CA00g29610, CA04g03180, CA04g03290, CA04g01520, CA08g13930, CA04g04540, CA00g29650, CA04g00920, CA00g71670, CA04g03870, CA04g05620, CA04g02040, CA07g01720, CA04g04720, CA04g03220, CA04g02220, CA00g29470, CA04g01850, CA00g29550, CA00g66240, CA00g29410, CA04g05060, CA00g29510, CA00g29460, CA00g71700, CA04g05080, CA04g04460, CA04g01510, CA04g00940, CA00g70430, CA04g01030, CA04g01420, CA04g01540, CA04g02050, CA04g03880, CA04g01450, CA04g04390, CA00g71630, CA04g01590, CA04g05130, CA04g02310, CA00g66210, CA00g71620, CA04g04430, CA04g01440, CA04g02190, CA04g02100, CA04g00950, CA04g03090, CA04g04320, CA00g29530, CA04g04990, CA04g04910	Solyc03T000104.1
OG0000008	CA04g05110, CA04g00980, CA04g03780, CA04g04890, CA04g03760, CA04g01980, CA04g02280, CA04g01940, CA04g03240, CA04g02250, CA00g91520, CA04g01900, CA04g04330, CA04g04400, CA04g03900, CA00g29560, CA04g02340, CA04g01050, CA00g70400, CA04g04580, CA00g29590, CA04g04770, CA04g04550, CA04g03140, CA04g03120, CA04g06910, CA04g02210, CA04g05020, CA04g01860, CA06g02490, CA04g03280, CA04g04630, CA04g05140, CA04g03820, CA00g29440, CA04g01370, CA04g01530, CA04g03970, CA12g06490, CA00g96970, CA04g03840, CA00g70390, CA01g33270	Solyc07T000472.1
OG0000017	CA02g02930	Solyc07T001627.1
OG0000017	CA00g75060, CA07g04730, CA03g10590, CA05g08890, CA00g09900, CA04g13150, CA07g04610, CA01g14970, CA06g14230, CA03g06520, CA03g08480, CA01g13500, CA07g13500, CA04g09400, CA00g89290, CA08g04330, CA01g12940, CA04g07330, CA09g08080, CA05g06860, CA03g18000, CA03g33350, CA04g08480, CA11g17040, CA11g05060, CA12g13990, CA02g05400, CA07g05020, CA01g26560, CA02g11760, CA05g05330, CA03g07430, CA12g13080, CA07g13250, CA00g92030, CA03g28160, CA03g18200, CA10g04070, CA11g07800, CA06g23220, CA00g84130	Solyc05T001137.1
OG0000017	CA05g08000, CA05g14010, CA01g27710, CA01g25400, CA03g19260, CA03g19270, CA08g04260, CA10g08740, CA09g08240, CA01g18270, CA12g13410, CA01g11820, CA10g12430, CA03g24890, CA01g25420, CA00g80170, CA03g36310, CA12g17180, CA00g91890, CA03g10170, CA05g14910, CA00g36530, CA10g16280, CA08g04320, CA03g06100, CA00g75050, CA08g00110, CA01g29660, CA04g01760, CA02g07520, CA03g32790, CA10g10170, CA01g14020, CA00g25040, CA02g09230, CA10g14370, CA00g89230, CA07g09510, CA07g13100, CA01g07650, CA10g14300, CA04g11070, CA00g89280, CA01g18260, CA01g09990, CA07g04720, CA11g06800, CA04g13760, CA10g05200, CA04g15530, CA03g35640, CA07g07790, CA00g25320, CA03g15490, CA10g12500, CA02g08900, CA06g21790, CA10g05190, CA02g18120	Solyc07T001413.1
OG0000017	CA06g05640, CA04g05300, CA00g32660, CA01g16590, CA04g17110, CA04g11870, CA03g24600, CA11g02260, CA05g07650, CA02g16540, CA03g16280, CA02g11260, CA01g18820, CA06g13540, CA04g10010, CA10g15750, CA09g03950, CA10g15620, CA01g02760, CA10g13800, CA04g05510, CA03g03490, CA05g14450, CA07g01830, CA10g11410, CA12g07480, CA02g00180, CA02g25860, CA11g06360, CA12g16490	Solyc03T001058.1
OG0000018	CA00g70540, CA06g10590	Solyc01T001384.1
OG0000018	CA03g11320, CA07g07250, CA05g09920, CA11g09900, CA06g13210	Solyc01T000854.1, Solyc09T001301.1
