Orthogroup	Brassica_napus	Capsicum_anuum
OG0000008	CDX86128	CA04g04560, CA04g02200, CA04g04660, CA00g66250, CA04g02060, CA04g04420, CA04g04850, CA04g04380, CA04g04780, CA04g03250, CA04g03110, CA04g03190, CA04g05010, CA04g02300, CA04g02160, CA04g03920, CA00g29490, CA04g02140, CA04g02270, CA09g07960, CA04g04730, CA00g29660, CA04g04640, CA04g03260, CA04g05120, CA04g04370, CA04g03770, CA00g97990, CA04g01400, CA04g03210, CA04g03150, CA04g02350, CA04g04830, CA00g87930, CA00g87970, CA04g00970, CA04g02260, CA04g04610, CA06g02480, CA04g02090, CA04g01410, CA04g03270, CA04g04870, CA00g29430, CA00g71680, CA08g13980, CA04g01550, CA04g05040, CA04g04750, CA04g04340, CA04g04360, CA00g87950, CA00g87900, CA04g04800, CA04g03670, CA06g06220, CA02g09900, CA01g08550, CA01g08670, CA00g87960, CA00g87910, CA04g01960, CA04g04820, CA04g01930, CA04g06900, CA04g01560, CA04g01020, CA04g01390, CA04g05000, CA00g29640, CA04g03160, CA04g03730, CA04g04960, CA04g02080, CA04g01350, CA00g29600, CA04g04940, CA00g29620, CA04g04410, CA04g04880, CA04g02120, CA00g70470, CA00g70410, CA04g01910, CA04g01880, CA04g05030, CA04g01950, CA04g03230, CA04g03130, CA04g04590, CA04g03910, CA04g04930, CA00g29500, CA00g70440, CA04g01990, CA04g02170, CA04g03100, CA04g05070, CA04g01470, CA00g71660, CA04g05100, CA04g03660, CA00g71650, CA12g06480, CA09g01260, CA10g11340, CA02g13740, CA04g04350, CA08g13960, CA04g03960, CA04g01040, CA00g29610, CA04g03180, CA04g03290, CA04g01520, CA08g13930, CA04g04540, CA00g29650, CA04g00920, CA00g71670, CA04g03870, CA04g05620, CA04g02040, CA07g01720, CA04g04720, CA04g03220, CA04g02220, CA00g29470, CA04g01850, CA00g29550, CA00g66240, CA00g29410, CA04g05060, CA00g29510, CA00g29460, CA00g71700, CA04g05080, CA04g04460, CA04g01510, CA04g00940, CA00g70430, CA04g01030, CA04g01420, CA04g01540, CA04g02050, CA04g03880, CA04g01450, CA04g04390, CA00g71630, CA04g01590, CA04g05130, CA04g02310, CA00g66210, CA00g71620, CA04g04430, CA04g01440, CA04g02190, CA04g02100, CA04g00950, CA04g03090, CA04g04320, CA00g29530, CA04g04990, CA04g04910, CA04g05110, CA04g00980, CA04g03780, CA04g04890, CA04g03760, CA04g01980, CA04g02280, CA04g01940, CA04g03240, CA04g02250, CA00g91520, CA04g01900, CA04g04330, CA04g04400, CA04g03900, CA00g29560, CA04g02340, CA04g01050, CA00g70400, CA04g04580, CA00g29590, CA04g04770, CA04g04550, CA04g03140, CA04g03120, CA04g06910, CA04g02210, CA04g05020, CA04g01860, CA06g02490, CA04g03280, CA04g04630, CA04g05140, CA04g03820, CA00g29440, CA04g01370, CA04g01530, CA04g03970, CA12g06490, CA00g96970, CA04g03840, CA00g70390, CA01g33270
OG0000014	CDY17633	CA04g06580, CA05g03600
OG0000017	CDY53602, CDX88033	CA11g01320, CA11g14060, CA02g02930, CA03g11960, CA12g12970, CA00g75060, CA07g04730, CA03g10590, CA05g08890, CA00g09900, CA04g13150, CA07g04610, CA01g14970, CA06g14230, CA03g06520, CA03g08480, CA01g13500, CA07g13500, CA04g09400, CA00g89290, CA08g04330, CA01g12940, CA04g07330, CA09g08080, CA05g06860, CA03g18000, CA03g33350, CA04g08480, CA11g17040, CA11g05060, CA12g13990, CA02g05400, CA07g05020, CA01g26560, CA02g11760, CA05g05330, CA03g07430, CA12g13080, CA07g13250, CA00g92030, CA03g28160, CA03g18200, CA10g04070, CA11g07800, CA06g23220, CA00g84130, CA05g08000, CA05g14010, CA01g27710, CA01g25400, CA03g19260, CA03g19270, CA08g04260, CA10g08740, CA09g08240, CA01g18270, CA12g13410, CA01g11820, CA10g12430, CA03g24890, CA01g25420, CA00g80170, CA03g36310, CA12g17180, CA00g91890, CA03g10170, CA05g14910, CA00g36530, CA10g16280, CA08g04320, CA03g06100, CA00g75050, CA08g00110, CA01g29660, CA04g01760, CA02g07520, CA03g32790, CA10g10170, CA01g14020, CA00g25040, CA02g09230, CA10g14370, CA00g89230, CA07g09510, CA07g13100, CA01g07650, CA10g14300, CA04g11070, CA00g89280, CA01g18260, CA01g09990, CA07g04720, CA11g06800, CA04g13760, CA10g05200, CA04g15530, CA03g35640, CA07g07790, CA00g25320, CA03g15490, CA10g12500, CA02g08900, CA06g21790, CA10g05190, CA02g18120, CA06g05640, CA04g05300, CA00g32660, CA01g16590, CA04g17110, CA04g11870, CA03g24600, CA11g02260, CA05g07650, CA02g16540, CA03g16280, CA02g11260, CA01g18820, CA06g13540, CA04g10010, CA10g15750, CA09g03950, CA10g15620, CA01g02760, CA10g13800, CA04g05510, CA03g03490, CA05g14450, CA07g01830, CA10g11410, CA12g07480, CA02g00180, CA02g25860, CA11g06360, CA12g16490
OG0000024	CDY58818, CDX75461, CDY66643, CDX72501	CA00g58730
OG0000024	CDX72504, CDY17486, CDX75463, CDX69088	CA00g58760
OG0000028	CDY41135	CA03g19600, CA02g05940, CA03g30210, CA01g28920
OG0000029	CDY17102	CA03g05400, CA01g17690, CA06g01490, CA07g06230, CA11g15740, CA12g10060, CA01g11660, CA00g93490, CA11g19760, CA11g19400, CA11g14910, CA06g17540, CA04g05410, CA02g06870, CA09g08510, CA09g15950, CA09g03570, CA12g04140, CA09g03420, CA06g14830, CA06g00600, CA07g21230, CA04g02330, CA06g02720, CA00g91540, CA04g02230, CA00g68950, CA01g28280, CA01g00120, CA07g15630, CA03g24100, CA04g11010, CA10g13320, CA00g98830, CA00g71850, CA03g05410, CA11g02520, CA01g10830, CA00g71310, CA10g07190, CA10g04020, CA05g10390, CA11g11790, CA09g13180, CA08g08620, CA03g14890
OG0000029	CDX99480, CDX84228	CA06g02590, CA09g16370, CA00g96740, CA11g04740, CA07g19620, CA03g18830
OG0000034	CDY23510	CA00g94930, CA04g04310, CA00g70460, CA00g83730, CA01g11000, CA10g03130, CA00g97130, CA07g08610, CA06g07350, CA06g18510, CA02g08290, CA02g15030, CA07g00190, CA00g64060, CA07g16730, CA01g04910, CA12g17220, CA07g08340, CA08g17810, CA00g74850, CA02g09490, CA00g89510, CA00g98360, CA00g95980, CA00g98810, CA00g98110, CA04g00990, CA04g20030, CA10g16970, CA00g97860, CA00g98330, CA00g98760, CA00g98150, CA00g92800, CA00g92520, CA00g98370, CA00g97730, CA00g99360, CA00g93480, CA00g92820, CA00g98180, CA00g97800, CA00g96960, CA00g97710, CA00g99250, CA00g94040, CA00g98070, CA00g93710, CA00g97540, CA00g97330, CA00g96930, CA00g98040, CA00g97140, CA00g98740, CA00g98440, CA00g92250, CA00g96660, CA00g97380, CA00g94910, CA00g93080, CA00g95070, CA00g99080, CA00g98580, CA00g98970, CA00g98590, CA00g99110, CA00g96270, CA00g97350, CA00g85150, CA00g94170, CA00g94730, CA00g94560, CA00g93640, CA00g97450, CA00g99090, CA00g93040, CA00g99370, CA00g99300, CA12g03730, CA00g96420, CA00g98710, CA00g44340, CA12g04560, CA10g17030, CA00g98910, CA00g98290, CA00g98630, CA00g98720, CA00g99340, CA00g98030, CA00g98620, CA00g97760, CA00g98470, CA00g94030, CA00g97290, CA00g97480, CA00g64090, CA00g80800, CA04g18930, CA08g00140, CA00g62860, CA06g03830, CA00g32610
OG0000050	CDY69598	CA00g72130, CA04g15110, CA05g14380, CA05g10220, CA02g03130, CA11g15030, CA01g30390, CA09g11110, CA12g03780, CA02g06730, CA02g26900, CA00g76760, CA04g19340, CA10g11490, CA02g06880, CA10g04510, CA01g20750, CA01g29210, CA07g18940, CA08g05120, CA10g13550, CA12g13770, CA10g07720, CA02g01020, CA02g26940, CA01g25700, CA09g11100, CA03g17960, CA10g06250, CA00g87650, CA10g09220, CA06g27080, CA03g11020, CA05g12510, CA03g21950, CA06g14530, CA10g10630, CA01g13290, CA04g10250, CA09g10780, CA01g29930, CA03g14230, CA06g10490, CA03g15210, CA03g15200, CA05g12330, CA03g10580, CA02g03370, CA03g14560, CA02g02970, CA03g13110, CA10g09410, CA12g10360, CA09g01040, CA01g16380, CA00g36930, CA09g09430, CA00g81060, CA00g91460, CA00g91450, CA04g14800, CA05g17480, CA05g02160, CA02g03710, CA03g13070, CA03g11080, CA05g09950, CA02g29050, CA02g15110, CA12g10240, CA02g02960, CA11g10320, CA04g15120, CA09g08900, CA05g07680, CA07g09980, CA07g08850, CA08g02510, CA04g10360, CA01g16460, CA12g03240
