Orthogroup	Solanum_lycopersicum	Prunus_persica
OG0000024	Solyc10T001855.1	Prupe.8G158000.1
OG0000024	Solyc11T000550.1, Solyc01T004249.1, Solyc01T004271.1, Solyc01T004252.1, Solyc01T004239.1, Solyc10T001721.1, Solyc11T000543.1, Solyc04T001697.1, Solyc04T001701.1, Solyc10T001725.1, Solyc01T004243.1, Solyc01T004244.1, Solyc01T004251.1, Solyc01T004240.1, Solyc01T004248.1, Solyc01T004247.1, Solyc01T004264.1, Solyc01T004265.1, Solyc01T004263.1, Solyc01T004253.1, Solyc01T004262.1, Solyc01T004259.1, Solyc01T004261.1, Solyc01T004270.1	Prupe.8G081600.1, Prupe.8G081400.1, Prupe.8G081200.1, Prupe.8G081800.1, Prupe.8G081900.1
OG0000028	Solyc12T001872.1	Prupe.6G167200.1, Prupe.6G192900.1, Prupe.1G198400.1, Prupe.1G189200.1
OG0000029	Solyc04T001040.1	Prupe.1G170400.1, Prupe.6G052200.1, Prupe.8G185100.1, Prupe.2G074700.1
OG0000035	Solyc07T000389.2, Solyc12T000167.2, Solyc07T001911.1, Solyc12T000919.1, Solyc07T001926.1, Solyc06T001255.1, Solyc06T001253.1, Solyc06T001256.1	Prupe.4G199500.1, Prupe.4G198500.1, Prupe.4G199000.1, Prupe.4G199300.1, Prupe.4G198200.1, Prupe.4G200100.1, Prupe.4G200000.1, Prupe.4G194500.1, Prupe.4G194400.1, Prupe.4G198700.1, Prupe.4G194600.1, Prupe.4G194300.1, Prupe.4G197900.1, Prupe.4G194700.1, Prupe.4G194000.1, Prupe.4G198800.1, Prupe.4G194200.1, Prupe.4G194100.1, Prupe.4G198600.1, Prupe.4G198000.1, Prupe.4G190700.1, Prupe.4G191000.1, Prupe.4G190800.1, Prupe.4G199200.1, Prupe.4G238900.1
OG0000035	Solyc04T001664.1	Prupe.4G193900.1, Prupe.4G238800.1
OG0000039	Solyc11T001572.1, Solyc11T002039.1, Solyc11T001657.1, Solyc11T001573.1, Solyc11T002038.1, Solyc11T002407.2, Solyc11T002459.1, Solyc11T002408.1, Solyc11T002352.1, Solyc11T002036.1, Solyc11T001462.1, Solyc11T001662.1, Solyc03T001544.3, Solyc11T002358.1, Solyc11T002324.3, Solyc11T002196.1, Solyc11T001934.1, Solyc11T001571.1	Prupe.2G036400.1
OG0000050	Solyc06T000377.1, Solyc06T002227.1, Solyc01T001769.1, Solyc01T001674.1, Solyc05T001858.1, Solyc11T000671.1, Solyc12T001245.1	Prupe.4G281000.1
OG0000054	Solyc07T000592.1	Prupe.2G169400.1
OG0000054	Solyc06T001321.1, Solyc10T002473.1, Solyc03T002120.1, Solyc08T002567.1	Prupe.5G008900.1, Prupe.1G465400.1
OG0000066	Solyc09T000116.1, Solyc08T002502.1, Solyc04T002981.2, Solyc08T002230.1, Solyc08T002228.1, Solyc08T002503.1, Solyc06T001787.2	Prupe.4G213300.1, Prupe.6G285400.1, Prupe.8G190900.1, Prupe.8G190800.1
OG0000066	Solyc04T002957.1	Prupe.5G188100.1, Prupe.1G358000.1
OG0000070	Solyc06T000833.1, Solyc08T001840.1	Prupe.7G141600.1
OG0000070	Solyc07T000185.1, Solyc04T000587.2, Solyc07T000569.1, Solyc04T000497.1, Solyc04T000551.1, Solyc04T000578.1, Solyc04T000489.1, Solyc04T000674.1, Solyc04T000488.1, Solyc04T000577.1, Solyc07T000568.1, Solyc02T000804.1	Prupe.1G074000.1
