Orthogroup	Arachis_hypogaea	Brassica_napus	Capsicum_anuum	Prunus_persica	Solanum_lycopersicum	Total
OG0000000	759	0	0	0	0	759
OG0000001	427	0	0	1	0	428
OG0000002	331	0	0	0	0	331
OG0000003	0	330	0	0	0	330
OG0000004	0	250	0	0	0	250
OG0000005	226	1	0	0	0	227
OG0000006	0	0	226	0	1	227
OG0000007	213	0	0	0	0	213
OG0000008	0	1	207	0	3	211
OG0000009	201	0	0	0	0	201
OG0000010	191	0	0	0	0	191
OG0000011	0	182	0	0	0	182
OG0000012	178	1	0	0	0	179
OG0000013	0	179	0	0	0	179
OG0000014	165	2	2	0	0	169
OG0000015	165	0	0	1	0	166
OG0000016	143	0	0	0	0	143
OG0000017	1	2	135	0	4	142
OG0000018	0	0	121	0	15	136
OG0000019	0	135	0	0	0	135
OG0000020	134	0	0	0	0	134
OG0000021	0	127	0	0	0	127
OG0000022	0	125	0	0	0	125
OG0000023	0	0	124	0	1	125
OG0000024	16	8	38	32	25	119
OG0000025	118	0	0	0	0	118
OG0000026	116	2	0	0	0	118
OG0000027	0	116	0	0	0	116
OG0000028	104	1	4	4	1	114
OG0000029	0	3	104	5	2	114
OG0000030	111	0	0	0	0	111
OG0000031	0	110	0	0	0	110
OG0000032	0	109	0	0	0	109
OG0000033	0	109	0	0	0	109
OG0000034	0	1	103	0	5	109
OG0000035	16	0	52	27	13	108
OG0000036	0	108	0	0	0	108
OG0000037	107	0	0	0	0	107
OG0000038	0	104	0	0	0	104
OG0000039	0	0	84	1	18	103
OG0000040	96	3	0	0	1	100
OG0000041	99	0	0	0	0	99
OG0000042	1	0	19	0	77	97
OG0000043	96	0	0	0	0	96
OG0000044	0	0	94	0	2	96
OG0000045	90	0	0	1	0	91
OG0000046	90	0	0	1	0	91
OG0000047	0	91	0	0	0	91
OG0000048	0	90	0	0	0	90
OG0000049	0	90	0	0	0	90
OG0000050	0	1	81	1	7	90
OG0000051	0	0	88	0	1	89
OG0000052	88	0	0	0	0	88
OG0000053	87	0	0	0	0	87
OG0000054	2	7	49	4	25	87
OG0000055	0	87	0	0	0	87
OG0000056	0	0	39	0	48	87
OG0000057	0	0	85	0	1	86
OG0000058	0	3	70	0	12	85
OG0000059	0	0	82	0	2	84
OG0000060	83	0	0	0	0	83
OG0000061	0	73	0	8	0	81
OG0000062	0	0	10	0	71	81
OG0000063	0	78	0	0	0	78
OG0000064	77	0	0	0	0	77
OG0000065	0	0	0	0	77	77
OG0000066	1	0	48	9	17	75
OG0000067	72	1	1	0	0	74
OG0000068	74	0	0	0	0	74
OG0000069	73	0	0	0	0	73
OG0000070	14	0	43	2	14	73
OG0000071	71	0	1	0	0	72
OG0000072	72	0	0	0	0	72
OG0000073	0	72	0	0	0	72
OG0000074	0	0	0	72	0	72
OG0000075	0	71	0	0	0	71
OG0000076	0	0	67	0	4	71
OG0000077	0	0	70	1	0	71
OG0000078	23	0	19	17	11	70
OG0000079	17	12	15	19	7	70
OG0000080	0	70	0	0	0	70
OG0000081	0	0	4	0	66	70
OG0000082	69	0	0	0	0	69
OG0000083	18	0	6	42	3	69
OG0000084	10	0	32	6	21	69
OG0000085	0	69	0	0	0	69
OG0000086	68	0	0	0	0	68
OG0000087	4	4	57	1	2	68
OG0000088	0	67	0	0	0	67
OG0000089	0	67	0	0	0	67
OG0000090	0	67	0	0	0	67
OG0000091	0	67	0	0	0	67
OG0000092	0	0	58	0	9	67
OG0000093	0	0	39	0	28	67
OG0000094	66	0	0	0	0	66
OG0000095	20	20	9	8	9	66
OG0000096	0	66	0	0	0	66
OG0000097	0	66	0	0	0	66
OG0000098	0	66	0	0	0	66
OG0000099	0	66	0	0	0	66
OG0000100	22	4	9	18	12	65
OG0000101	22	21	8	9	5	65
OG0000102	0	65	0	0	0	65
OG0000103	0	65	0	0	0	65
OG0000104	0	65	0	0	0	65
OG0000105	15	24	12	6	7	64
OG0000106	4	0	18	1	41	64
OG0000107	1	0	2	0	61	64
OG0000108	0	0	0	0	64	64
OG0000109	12	18	12	1	20	63
OG0000110	61	0	0	0	0	61
