Orthogroup	Prunus_persica	Brassica_napus
OG0000024	Prupe.8G158000.1	CDY58818, CDX75461, CDY66643, CDX72501
OG0000024	Prupe.8G158200.1	CDX72504, CDY17486, CDX75463, CDX69088
OG0000028	Prupe.6G167200.1, Prupe.6G192900.1, Prupe.1G198400.1, Prupe.1G189200.1	CDY41135
OG0000029	Prupe.1G170400.1, Prupe.6G052200.1, Prupe.8G185100.1, Prupe.2G074700.1	CDY17102
OG0000029	Prupe.4G230800.1	CDX99480, CDX84228
OG0000050	Prupe.4G281000.1	CDY69598
OG0000054	Prupe.2G169400.1	CDY67676
OG0000061	Prupe.3G099800.1	CDY40957
OG0000061	Prupe.3G083200.1, Prupe.3G080800.1, Prupe.3G080600.1, Prupe.3G080500.1, Prupe.3G080300.1, Prupe.3G080400.1, Prupe.3G054800.1	CDY66329, CDY15982, CDY15976, CDY30610, CDY63633, CDY06721, CDY34611, CDX85296, CDY26554, CDY26629, CDY30069, CDY21043, CDY30059, CDX98077, CDY31820, CDY40963, CDY39652, CDY50166, CDY41879, CDY51458, CDY31557, CDY54448, CDX91446, CDY63632, CDY06719, CDY31246, CDY31831, CDY26546, CDY39801, CDY39653, CDY30066, CDY30060, CDX98076, CDY34612, CDY31256, CDY31823, CDY66343, CDY31088, CDY46104, CDX72415, CDY12889, CDY68153, CDY26555, CDY15990, CDY16068, CDX98075, CDY30063, CDY69543, CDY17747, CDY57357, CDY16067, CDY26628, CDY30612, CDY21039, CDY31247, CDY15989, CDY26553, CDY15981, CDY26547, CDY15980, CDX67660, CDY51262, CDY66344, CDY31824, CDY63682, CDY46182, CDY27692, CDY03271, CDY39800, CDY03272, CDY34678, CDY34680
OG0000079	Prupe.6G121200.1, Prupe.6G121800.1, Prupe.6G121500.1, Prupe.6G122100.1, Prupe.6G121900.1, Prupe.7G115200.1	CDY43723, CDX79673
OG0000079	Prupe.3G076400.1, Prupe.3G076500.1	CDY36570, CDY39660
OG0000079	Prupe.3G059800.1, Prupe.3G059900.1, Prupe.3G060000.1	CDY20193, CDX97743, CDY36535, CDY39621, CDY39620, CDY36534, CDX83991, CDX67921
OG0000087	Prupe.1G368000.1	CDY55151, CDY29396, CDY63703, CDX96649
OG0000095	Prupe.4G095300.1	CDX84283, CDY31638
OG0000095	Prupe.5G232700.1	CDY49002, CDY31428, CDX76444, CDX98679, CDX94014
OG0000095	Prupe.1G364800.1	CDX73198, CDX87664
OG0000100	Prupe.4G142800.1, Prupe.4G142400.1, Prupe.4G142600.1, Prupe.4G194900.1, Prupe.4G195000.1, Prupe.4G195100.1, Prupe.4G195400.1, Prupe.4G195300.1, Prupe.4G195900.1, Prupe.4G196200.1, Prupe.4G196400.1, Prupe.4G196000.1, Prupe.4G192900.1, Prupe.4G193400.1, Prupe.4G193200.1, Prupe.4G193300.1, Prupe.4G193600.1, Prupe.4G139500.1	CDY65509, CDX92824, CDY29294, CDX89261
OG0000101	Prupe.5G185000.1	CDY45757
OG0000101	Prupe.2G128800.1, Prupe.5G062200.1	CDY41176
OG0000101	Prupe.3G029800.1	CDX83917, CDX96779
OG0000101	Prupe.7G258000.1	CDY50939, CDX93092
OG0000101	Prupe.1G460700.1	CDY34767
OG0000105	Prupe.6G163400.1	CDX69885, CDY21607, CDX81140, CDY56544
OG0000105	Prupe.6G254100.1, Prupe.2G235000.1, Prupe.7G077300.1, Prupe.6G078800.1	CDY01102, CDY08455, CDY30846, CDX76191, CDX78202, CDX91373, CDX74944, CDX99111, CDX88698, CDX71119, CDX86081, CDY53444, CDX82985, CDY38066, CDY21777
OG0000105	Prupe.5G137100.1	CDY61982, CDX95498, CDX92272, CDX82326, CDX87810
OG0000109	Prupe.1G293200.1	CDY49691, CDY45714, CDY49689, CDY33119, CDY54152, CDY45713, CDY55733, CDY33116, CDY66020, CDY54154, CDY54153, CDY67730, CDY04166, CDY58630, CDY49690
OG0000113	Prupe.7G048600.1, Prupe.7G048500.1, Prupe.7G048400.1	CDY48342, CDX90195, CDY35303, CDY35305, CDX90192, CDX90194, CDX99823, CDY48341, CDX90193, CDX88114, CDY35304, CDY48337, CDX99824, CDX99830
OG0000128	Prupe.2G004900.1	CDX91123, CDY34208
OG0000128	Prupe.4G156100.1, Prupe.1G130600.1, Prupe.6G133700.1, Prupe.3G122800.1, Prupe.6G164800.1, Prupe.7G105100.1, Prupe.7G073100.1, Prupe.1G229800.1, Prupe.6G020000.1, Prupe.2G168600.1, Prupe.1G170700.1, Prupe.4G168300.1, Prupe.1G177900.1, Prupe.7G010100.1, Prupe.3G105400.1, Prupe.5G010600.1, Prupe.7G084200.1, Prupe.7G052500.1, Prupe.2G137700.1, Prupe.6G148000.1, Prupe.8G061600.1	CDY08702, CDY12457, CDY56861, CDY67169, CDY52488, CDY23820, CDY58024, CDX87137, CDY05391, CDY49548, CDY17957, CDY48490, CDY14965, CDX80632, CDY34209, CDY71247, CDY07062, CDY14966, CDY49804, CDY34325, CDY12323, CDY51332, CDY67564, CDY71853, CDY58327, CDY11669, CDY70874, CDY27820, CDY25033, CDY42249, CDY37373, CDX86815, CDY59241
OG0000132	Prupe.2G264700.1	CDY46287, CDX71594, CDY31622, CDY13748, CDX76908, CDY15856, CDY25598, CDX89471, CDX90006, CDY25176, CDY07334, CDY65481, CDY07833, CDY20806, CDY24358, CDY65482, CDY24357, CDY68243, CDY24359, CDX82697, CDY46913, CDY20064, CDY51689, CDY24607, CDY20894, CDX79488, CDX84715, CDX84668, CDY25187, CDY25175, CDY25177, CDY50243, CDY04630, CDY08831, CDX78594, CDX78592, CDY72619, CDX78590, CDY71509, CDY15236, CDX89978, CDY18153, CDY71807, CDY71128, CDY46289, CDX90133, CDY35742, CDX69639, CDY46619, CDY46288, CDY46620, CDX90153, CDY69968, CDY11742, CDX90131
OG0000138	Prupe.2G161800.1, Prupe.4G241100.1, Prupe.4G240800.1, Prupe.1G171600.1, Prupe.2G161900.1, Prupe.1G171500.1, Prupe.2G162300.1, Prupe.2G162200.1, Prupe.4G240700.1, Prupe.2G160700.1, Prupe.2G160400.1, Prupe.2G160600.1, Prupe.2G160100.1, Prupe.2G160500.1, Prupe.2G161000.1, Prupe.2G161300.1, Prupe.2G161100.1, Prupe.2G160800.1, Prupe.2G161500.1, Prupe.2G161400.1, Prupe.1G171800.1, Prupe.2G161200.1, Prupe.2G160900.1, Prupe.2G161600.1, Prupe.6G151900.1, Prupe.5G095500.1	CDY15148, CDX90062, CDY56927, CDX89104, CDY48937, CDX71758
OG0000139	Prupe.2G243600.1, Prupe.2G243500.1, Prupe.4G159100.1, Prupe.4G159400.1	CDY01013, CDY08534, CDX70120, CDX98873
OG0000139	Prupe.6G008200.1	CDX99101, CDY03340, CDY33200, CDX68393, CDX82989, CDX99103, CDY61257, CDY21781, CDX88710, CDY53452, CDY48677, CDY33048, CDX80255, CDX68395, CDX82992, CDX86090, CDX99100, CDY61260, CDX99102, CDY68357, CDX81946
OG0000140	Prupe.6G160500.1, Prupe.4G063500.1	CDY43965
OG0000140	Prupe.5G170700.1	CDX71027
OG0000147	Prupe.5G223800.1	CDY25688
OG0000147	Prupe.3G146000.1, Prupe.3G145500.1, Prupe.3G146600.1, Prupe.2G033300.1, Prupe.1G497000.1, Prupe.3G146200.1, Prupe.1G496900.1, Prupe.3G145900.1, Prupe.3G145700.1, Prupe.3G145200.1, Prupe.2G033400.1, Prupe.3G146100.1, Prupe.3G145800.1, Prupe.3G145600.1, Prupe.1G315100.1, Prupe.1G315400.1, Prupe.1G315200.1, Prupe.1G315000.1	CDX99488
OG0000155	Prupe.1G143400.1	CDY10612, CDY13919, CDX92582
