Orthogroup	Brassica_napus	Solanum_lycopersicum
OG0000008	CDX86128	Solyc03T000112.2, Solyc03T000104.1, Solyc07T000472.1
OG0000017	CDY53602, CDX88033	Solyc07T001627.1, Solyc05T001137.1, Solyc07T001413.1, Solyc03T001058.1
OG0000024	CDY58818, CDX75461, CDY66643, CDX72501	Solyc10T001855.1
OG0000028	CDY41135	Solyc12T001872.1
OG0000029	CDY17102	Solyc04T001040.1
OG0000034	CDY23510	Solyc07T001290.1, Solyc10T001407.1, Solyc03T000679.1, Solyc01T001496.1, Solyc10T001406.1
OG0000040	CDX77560	Solyc12T001143.1
OG0000050	CDY69598	Solyc06T000377.1, Solyc06T002227.1, Solyc01T001769.1, Solyc01T001674.1, Solyc05T001858.1, Solyc11T000671.1, Solyc12T001245.1
OG0000054	CDY67676	Solyc07T000592.1
OG0000054	CDY33676, CDY64813, CDY29466, CDY64809, CDY62240, CDY25693	Solyc12T000966.1, Solyc08T001472.1, Solyc11T001771.1
OG0000058	CDY29918	Solyc04T002158.1
OG0000058	CDY37116	Solyc08T000281.1
OG0000058	CDY68286	Solyc07T001649.1, Solyc12T002219.1, Solyc04T001890.1, Solyc08T000852.1, Solyc03T002796.1, Solyc08T000181.1, Solyc10T001237.1
OG0000079	CDY43723, CDX79673	Solyc11T002157.1, Solyc05T002649.1
OG0000079	CDY36570, CDY39660	Solyc12T002830.1
OG0000079	CDY20193, CDX97743, CDY36535, CDY39621, CDY39620, CDY36534, CDX83991, CDX67921	Solyc03T003383.1
OG0000087	CDY55151, CDY29396, CDY63703, CDX96649	Solyc04T002052.1, Solyc04T002886.1
OG0000095	CDX80390	Solyc06T000084.1
OG0000095	CDY00319, CDX86102, CDY38073, CDX84345	Solyc04T001904.6
OG0000095	CDX97877, CDY51360, CDY45452, CDY53366	Solyc10T002957.1, Solyc10T002784.1
OG0000095	CDY49002, CDY31428, CDX76444, CDX98679, CDX94014	Solyc03T003166.1
OG0000095	CDX73198, CDX87664	Solyc04T002908.1
OG0000100	CDY65509, CDX92824, CDY29294, CDX89261	Solyc07T002553.1, Solyc10T000169.1, Solyc10T000168.1, Solyc07T002557.1, Solyc07T002555.2, Solyc04T002532.3, Solyc07T002554.1, Solyc12T000027.1, Solyc04T002527.1, Solyc04T002531.1, Solyc04T002528.1, Solyc04T002535.1
OG0000101	CDY45757	Solyc03T002597.1, Solyc06T001947.1
OG0000101	CDY41176	Solyc08T002100.1
OG0000101	CDY34767	Solyc07T000650.1
