Orthogroup	Arachis_hypogaea	Solanum_lycopersicum
OG0000017	arahy.Tifrunner.gnm1.ann1.244SBX.1	Solyc07T001627.1, Solyc05T001137.1, Solyc07T001413.1, Solyc03T001058.1
OG0000024	arahy.Tifrunner.gnm1.ann1.9FBB71.1, arahy.Tifrunner.gnm1.ann1.TRM7YB.1	Solyc10T001855.1
OG0000024	arahy.Tifrunner.gnm1.ann1.R6N347.1, arahy.Tifrunner.gnm1.ann1.WB7GWZ.1	Solyc11T000550.1, Solyc01T004249.1, Solyc01T004271.1, Solyc01T004252.1, Solyc01T004239.1
OG0000024	arahy.Tifrunner.gnm1.ann1.AD2HDF.1, arahy.Tifrunner.gnm1.ann1.G2W5QJ.1, arahy.Tifrunner.gnm1.ann1.08YD9Z.1, arahy.Tifrunner.gnm1.ann1.WZ3ZCE.1	Solyc01T004243.1, Solyc01T004244.1, Solyc01T004251.1, Solyc01T004240.1, Solyc01T004248.1, Solyc01T004247.1, Solyc01T004264.1, Solyc01T004265.1, Solyc01T004263.1, Solyc01T004253.1, Solyc01T004262.1, Solyc01T004259.1, Solyc01T004261.1, Solyc01T004270.1
OG0000028	arahy.Tifrunner.gnm1.ann1.BGH1K9.1, arahy.Tifrunner.gnm1.ann1.2YWW5X.1, arahy.Tifrunner.gnm1.ann1.ZTB7LP.1, arahy.Tifrunner.gnm1.ann1.LQ4JD5.1, arahy.Tifrunner.gnm1.ann1.ZP0TV1.1, arahy.Tifrunner.gnm1.ann1.N7D5W4.1, arahy.Tifrunner.gnm1.ann1.PX1Q7R.1, arahy.Tifrunner.gnm1.ann1.J14BQ6.1, arahy.Tifrunner.gnm1.ann1.TFW107.1, arahy.Tifrunner.gnm1.ann1.C66JT8.1, arahy.Tifrunner.gnm1.ann1.HN4IXE.1, arahy.Tifrunner.gnm1.ann1.BD2TUN.1, arahy.Tifrunner.gnm1.ann1.WD8XP2.1, arahy.Tifrunner.gnm1.ann1.EDF0S4.1, arahy.Tifrunner.gnm1.ann1.T7DEQZ.1, arahy.Tifrunner.gnm1.ann1.UAK3YW.1, arahy.Tifrunner.gnm1.ann1.GU7PJV.1, arahy.Tifrunner.gnm1.ann1.Z9M9A1.1, arahy.Tifrunner.gnm1.ann1.DID5FL.1, arahy.Tifrunner.gnm1.ann1.GA2210.1, arahy.Tifrunner.gnm1.ann1.B430R0.1, arahy.Tifrunner.gnm1.ann1.PYBA1P.1, arahy.Tifrunner.gnm1.ann1.SN4SAG.1, arahy.Tifrunner.gnm1.ann1.ETEH4J.1, arahy.Tifrunner.gnm1.ann1.0LLV4J.1, arahy.Tifrunner.gnm1.ann1.DD1W6J.1, arahy.Tifrunner.gnm1.ann1.MU3CLC.1, arahy.Tifrunner.gnm1.ann1.4ILM2X.1, arahy.Tifrunner.gnm1.ann1.9JI2QB.1, arahy.Tifrunner.gnm1.ann1.SF7PFS.1, arahy.Tifrunner.gnm1.ann1.R7XLBE.1, arahy.Tifrunner.gnm1.ann1.07JIFF.1, arahy.Tifrunner.gnm1.ann1.DLVP0Z.1, arahy.Tifrunner.gnm1.ann1.7T5HGQ.1, arahy.Tifrunner.gnm1.ann1.03YHAE.1, arahy.Tifrunner.gnm1.ann1.CA0PRS.1, arahy.Tifrunner.gnm1.ann1.MKXD2W.1, arahy.Tifrunner.gnm1.ann1.ATXH7E.1, arahy.Tifrunner.gnm1.ann1.44PQND.1, arahy.Tifrunner.gnm1.ann1.RR6QUE.1, arahy.Tifrunner.gnm1.ann1.1KK7V7.1, arahy.Tifrunner.gnm1.ann1.880EA4.1, arahy.Tifrunner.gnm1.ann1.RF7S57.1, arahy.Tifrunner.gnm1.ann1.P7N27H.1, arahy.Tifrunner.gnm1.ann1.QAIE21.1, arahy.Tifrunner.gnm1.ann1.JRV8YC.1, arahy.Tifrunner.gnm1.ann1.14QLMC.1, arahy.Tifrunner.gnm1.ann1.6409NJ.1, arahy.Tifrunner.gnm1.ann1.KMV29V.1, arahy.Tifrunner.gnm1.ann1.BH5A7Z.1, arahy.Tifrunner.gnm1.ann1.W78D6Z.1, arahy.Tifrunner.gnm1.ann1.ZN40H3.1, arahy.Tifrunner.gnm1.ann1.KK4V7H.1, arahy.Tifrunner.gnm1.ann1.78M2T9.1, arahy.Tifrunner.gnm1.ann1.XB306U.1, arahy.Tifrunner.gnm1.ann1.IN5DBV.1, arahy.Tifrunner.gnm1.ann1.IGR54D.1, arahy.Tifrunner.gnm1.ann1.ZUE95K.1, arahy.Tifrunner.gnm1.ann1.60RZCN.1, arahy.Tifrunner.gnm1.ann1.EYT58T.1, arahy.Tifrunner.gnm1.ann1.JI6NZI.1, arahy.Tifrunner.gnm1.ann1.87KLM0.1, arahy.Tifrunner.gnm1.ann1.WC8NTR.1, arahy.Tifrunner.gnm1.ann1.XU1E63.1, arahy.Tifrunner.gnm1.ann1.5WC8BS.1, arahy.Tifrunner.gnm1.ann1.MZ8BA6.1, arahy.Tifrunner.gnm1.ann1.JCEI9S.1, arahy.Tifrunner.gnm1.ann1.LS1Y2H.1, arahy.Tifrunner.gnm1.ann1.GS73AA.1, arahy.Tifrunner.gnm1.ann1.K0A92D.1, arahy.Tifrunner.gnm1.ann1.E7PPZH.1, arahy.Tifrunner.gnm1.ann1.FATU7S.1, arahy.Tifrunner.gnm1.ann1.HS6AU8.1, arahy.Tifrunner.gnm1.ann1.5A9IXT.1, arahy.Tifrunner.gnm1.ann1.MCQ4MF.1, arahy.Tifrunner.gnm1.ann1.B17C0C.1, arahy.Tifrunner.gnm1.ann1.7V0QHS.1, arahy.Tifrunner.gnm1.ann1.CVM973.1, arahy.Tifrunner.gnm1.ann1.WG15T1.1, arahy.Tifrunner.gnm1.ann1.MFJS9C.1, arahy.Tifrunner.gnm1.ann1.S9EQ9T.1, arahy.Tifrunner.gnm1.ann1.V8FPGT.1, arahy.Tifrunner.gnm1.ann1.0FUF30.1, arahy.Tifrunner.gnm1.ann1.2H1MGU.1, arahy.Tifrunner.gnm1.ann1.H3BLYN.1, arahy.Tifrunner.gnm1.ann1.HX9YJ4.1, arahy.Tifrunner.gnm1.ann1.5QBM87.1, arahy.Tifrunner.gnm1.ann1.TPRQ23.1, arahy.Tifrunner.gnm1.ann1.9R3CRD.1, arahy.Tifrunner.gnm1.ann1.9LP8WG.1, arahy.Tifrunner.gnm1.ann1.B5SYFK.1, arahy.Tifrunner.gnm1.ann1.19918B.1, arahy.Tifrunner.gnm1.ann1.BSNM5R.1, arahy.Tifrunner.gnm1.ann1.99ZU3A.1, arahy.Tifrunner.gnm1.ann1.VJTY5B.1, arahy.Tifrunner.gnm1.ann1.7M9JZC.1, arahy.Tifrunner.gnm1.ann1.E6PJZ4.1, arahy.Tifrunner.gnm1.ann1.NWAB22.1, arahy.Tifrunner.gnm1.ann1.HLEK2P.1, arahy.Tifrunner.gnm1.ann1.P0ALVF.1, arahy.Tifrunner.gnm1.ann1.5AA1CX.1, arahy.Tifrunner.gnm1.ann1.D49VG9.1, arahy.Tifrunner.gnm1.ann1.FJ42T9.1, arahy.Tifrunner.gnm1.ann1.4F2N9Z.1	Solyc12T001872.1
OG0000035	arahy.Tifrunner.gnm1.ann1.684RT9.1, arahy.Tifrunner.gnm1.ann1.A2E6KE.1, arahy.Tifrunner.gnm1.ann1.RSF9XX.1, arahy.Tifrunner.gnm1.ann1.Y103QL.1, arahy.Tifrunner.gnm1.ann1.ZA8YKR.1, arahy.Tifrunner.gnm1.ann1.CX9Y59.1, arahy.Tifrunner.gnm1.ann1.T3R0IJ.2, arahy.Tifrunner.gnm1.ann1.A5PRG1.1, arahy.Tifrunner.gnm1.ann1.SQ1PU0.1, arahy.Tifrunner.gnm1.ann1.N6MCFC.1, arahy.Tifrunner.gnm1.ann1.D34PF8.1, arahy.Tifrunner.gnm1.ann1.7F6LIV.1, arahy.Tifrunner.gnm1.ann1.ME6EYC.1, arahy.Tifrunner.gnm1.ann1.1B13BQ.1, arahy.Tifrunner.gnm1.ann1.BX0P1N.1, arahy.Tifrunner.gnm1.ann1.TUGJ2A.1	Solyc07T000389.2, Solyc12T000167.2, Solyc07T001911.1, Solyc12T000919.1, Solyc07T001926.1, Solyc06T001255.1, Solyc06T001253.1, Solyc06T001256.1
OG0000040	arahy.Tifrunner.gnm1.ann1.52ZQ3U.1, arahy.Tifrunner.gnm1.ann1.Z8YTLE.1, arahy.Tifrunner.gnm1.ann1.V52GIS.1, arahy.Tifrunner.gnm1.ann1.WBM5YG.1, arahy.Tifrunner.gnm1.ann1.MFG79I.1, arahy.Tifrunner.gnm1.ann1.BC657Y.1, arahy.Tifrunner.gnm1.ann1.6S3IJG.1, arahy.Tifrunner.gnm1.ann1.KAVT3F.1, arahy.Tifrunner.gnm1.ann1.3WS4HL.1, arahy.Tifrunner.gnm1.ann1.U6DD7W.1, arahy.Tifrunner.gnm1.ann1.B2J3A8.1, arahy.Tifrunner.gnm1.ann1.816RZA.1, arahy.Tifrunner.gnm1.ann1.JKQ8HC.1, arahy.Tifrunner.gnm1.ann1.8AA0HP.1, arahy.Tifrunner.gnm1.ann1.MBXS5H.1, arahy.Tifrunner.gnm1.ann1.H5WM6F.1, arahy.Tifrunner.gnm1.ann1.C98XNZ.1, arahy.Tifrunner.gnm1.ann1.HDEZ1X.1, arahy.Tifrunner.gnm1.ann1.Y156SF.1, arahy.Tifrunner.gnm1.ann1.8CF1SB.1, arahy.Tifrunner.gnm1.ann1.A6B611.1, arahy.Tifrunner.gnm1.ann1.A927LK.1, arahy.Tifrunner.gnm1.ann1.LRBE31.1, arahy.Tifrunner.gnm1.ann1.27VNL1.1, arahy.Tifrunner.gnm1.ann1.E0PMC5.1, arahy.Tifrunner.gnm1.ann1.QH0NII.1, arahy.Tifrunner.gnm1.ann1.53TY2Q.1, arahy.Tifrunner.gnm1.ann1.UAW4HJ.1, arahy.Tifrunner.gnm1.ann1.G9L240.1, arahy.Tifrunner.gnm1.ann1.606XR0.1, arahy.Tifrunner.gnm1.ann1.IGPR6V.1, arahy.Tifrunner.gnm1.ann1.L6JQEU.1, arahy.Tifrunner.gnm1.ann1.KUN0TJ.1, arahy.Tifrunner.gnm1.ann1.IGL485.1, arahy.Tifrunner.gnm1.ann1.Q120Q3.1, arahy.Tifrunner.gnm1.ann1.QM4BK9.1, arahy.Tifrunner.gnm1.ann1.0QS93M.1, arahy.Tifrunner.gnm1.ann1.I3U4BT.1, arahy.Tifrunner.gnm1.ann1.8342L8.1, arahy.Tifrunner.gnm1.ann1.NZ7R0Z.1, arahy.Tifrunner.gnm1.ann1.E8S7KI.1, arahy.Tifrunner.gnm1.ann1.WI2H4C.1, arahy.Tifrunner.gnm1.ann1.APYA1M.1, arahy.Tifrunner.gnm1.ann1.D8XAR5.1, arahy.Tifrunner.gnm1.ann1.C47HWS.1, arahy.Tifrunner.gnm1.ann1.ECVU4F.1, arahy.Tifrunner.gnm1.ann1.W2G3HI.1, arahy.Tifrunner.gnm1.ann1.DY6DE5.1, arahy.Tifrunner.gnm1.ann1.4F1AUH.1, arahy.Tifrunner.gnm1.ann1.4MX4DZ.1, arahy.Tifrunner.gnm1.ann1.HUNK80.1, arahy.Tifrunner.gnm1.ann1.0Q1TIA.1, arahy.Tifrunner.gnm1.ann1.JL0146.1, arahy.Tifrunner.gnm1.ann1.3H2HJM.1, arahy.Tifrunner.gnm1.ann1.AS3ZE6.1, arahy.Tifrunner.gnm1.ann1.PERH2Y.1, arahy.Tifrunner.gnm1.ann1.47Q9LE.1, arahy.Tifrunner.gnm1.ann1.S7GMVN.1, arahy.Tifrunner.gnm1.ann1.YGI54L.1, arahy.Tifrunner.gnm1.ann1.ZW9ULP.1, arahy.Tifrunner.gnm1.ann1.109VKY.1, arahy.Tifrunner.gnm1.ann1.E5DIFE.1, arahy.Tifrunner.gnm1.ann1.KX0AYA.1, arahy.Tifrunner.gnm1.ann1.T2ZBNM.1, arahy.Tifrunner.gnm1.ann1.JSNF9J.1, arahy.Tifrunner.gnm1.ann1.QCU1HD.1, arahy.Tifrunner.gnm1.ann1.RRIW7B.1, arahy.Tifrunner.gnm1.ann1.KV4G29.1, arahy.Tifrunner.gnm1.ann1.F23DGP.1, arahy.Tifrunner.gnm1.ann1.ZK641K.5, arahy.Tifrunner.gnm1.ann1.UW16ZC.1, arahy.Tifrunner.gnm1.ann1.C94D80.1, arahy.Tifrunner.gnm1.ann1.9R3R3W.1, arahy.Tifrunner.gnm1.ann1.BQ7RF0.1, arahy.Tifrunner.gnm1.ann1.5A2PFR.1, arahy.Tifrunner.gnm1.ann1.956LMD.1, arahy.Tifrunner.gnm1.ann1.MNFB2B.1, arahy.Tifrunner.gnm1.ann1.KF5CXC.1, arahy.Tifrunner.gnm1.ann1.1V5VYE.1, arahy.Tifrunner.gnm1.ann1.1ZD0QJ.1, arahy.Tifrunner.gnm1.ann1.GA8L3T.1, arahy.Tifrunner.gnm1.ann1.LZ7HA6.1, arahy.Tifrunner.gnm1.ann1.B0DQ39.1, arahy.Tifrunner.gnm1.ann1.CHR5JU.1, arahy.Tifrunner.gnm1.ann1.GA19A6.1, arahy.Tifrunner.gnm1.ann1.UX9V95.1, arahy.Tifrunner.gnm1.ann1.ZJLE4H.1, arahy.Tifrunner.gnm1.ann1.59J3RY.1, arahy.Tifrunner.gnm1.ann1.2U8NTA.1, arahy.Tifrunner.gnm1.ann1.HID98C.1, arahy.Tifrunner.gnm1.ann1.0KMR65.1, arahy.Tifrunner.gnm1.ann1.NUF628.1, arahy.Tifrunner.gnm1.ann1.3QU9ND.1	Solyc12T001143.1
OG0000042	arahy.Tifrunner.gnm1.ann1.J3IYG2.1	Solyc04T001282.1, Solyc03T001240.1, Solyc05T001349.1, Solyc01T000865.1, Solyc03T001239.2, Solyc01T000868.1, Solyc07T001004.1, Solyc05T001534.1, Solyc04T001281.1, Solyc04T000787.1, Solyc06T000568.1, Solyc10T001112.1, Solyc10T001579.1, Solyc04T001064.1, Solyc10T000965.1, Solyc07T001001.1, Solyc12T001360.1, Solyc12T001361.1, Solyc04T001009.1, Solyc01T000864.1, Solyc10T001796.1, Solyc10T001800.1, Solyc10T001785.1, Solyc10T001790.3, Solyc01T001489.1, Solyc06T000597.1, Solyc11T001375.1, Solyc11T001563.1, Solyc09T001014.1, Solyc01T001566.1, Solyc02T000032.1, Solyc12T001620.1, Solyc06T000421.1, Solyc02T000006.1, Solyc04T001319.1, Solyc04T001317.1, Solyc04T001322.1, Solyc04T001313.1, Solyc04T001318.1, Solyc04T001323.1, Solyc04T001324.1, Solyc04T001314.1, Solyc04T001315.1, Solyc05T001927.1, Solyc01T001490.1, Solyc01T000886.1, Solyc01T001089.2, Solyc01T000627.1, Solyc10T001571.1, Solyc05T001321.1, Solyc10T001786.1, Solyc02T000172.1, Solyc05T001322.1, Solyc05T001089.1, Solyc05T001535.1, Solyc05T001533.1, Solyc08T001050.1, Solyc03T001238.1, Solyc10T001396.1, Solyc07T001003.1, Solyc07T001000.1, Solyc04T000786.1, Solyc10T001578.1, Solyc10T002018.1, Solyc05T001474.1, Solyc07T000587.1, Solyc10T001580.1, Solyc04T001063.1, Solyc10T001559.1, Solyc07T000551.1, Solyc10T001572.1, Solyc07T001002.1, Solyc10T001787.1, Solyc08T001037.1, Solyc10T001797.1, Solyc10T001793.1, Solyc06T000567.1
OG0000054	arahy.Tifrunner.gnm1.ann1.EH594U.1	Solyc12T000966.1, Solyc08T001472.1, Solyc11T001771.1
OG0000066	arahy.Tifrunner.gnm1.ann1.PYC0TU.1	Solyc04T002957.1
